ticker,text,length,industry_group,labels
AAXN,none,1,Capital Goods,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ABBV,"abbvie inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. the company offers humira, a therapy administered as an injection for autoimmune and intestinal behçet's diseases; skyrizi to treat moderate to severe plaque psoriasis in adults; rinvoq, a jak inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; imbruvica to treat adult patients with chronic lymphocytic leukemia (cll), small lymphocytic lymphoma (sll), and venclexta, a bcl-2 inhibitor used to treat adults with cll or sll; and mavyret to treat patients with chronic hcv genotype 1-6 infection. it also provides creon, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; synthroid used in the treatment of hypothyroidism; linzess/constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and botox therapeutic. in addition, the company offers orilissa, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; duopa and duodopa, a levodopa-carbidopa intestinal gel to treat parkinson's disease; lumigan/ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (iop) in patients with open angle glaucoma (oag) or ocular hypertension; ubrelvy to treat migraine with or without aura in adults; alphagan/ combigan, an alpha-adrenergic receptor agonist for the reduction of iop in patients with oag; and restasis, a calcineurin inhibitor immunosuppressant to increase tear production, as well as other eye care products. abbvie inc. has a research collaboration with dragonfly therapeutics, inc. the company was incorporated in 2012 and is headquartered in north chicago, illinois.",268,"Pharmaceuticals, Biotechnology & Life Sciences",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
ABC,"amerisourcebergen corporation sources and distributes pharmaceutical products in the united states and internationally. its pharmaceutical distribution segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to various healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and alternate site pharmacies, and other customers. it also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; and packaging solutions to various institutional and retail healthcare providers. in addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics; and offers data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers. the company's other segment provides integrated manufacturer services, such as clinical trial support, product post-approval, and commercialization support; specialty transportation and logistics services for the biopharmaceutical industry; and sells pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and various other products to customers in the companion animal and production animal markets, as well as demand-creating sales force services to manufacturers. amerisourcebergen corporation was incorporated in 2001 and is headquartered in conshohocken, pennsylvania.",220,Health Care Equipment & Services,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
ABCB,"ameris bancorp operates as the bank holding company for ameris bank that provides range of banking services to retail and commercial customers primarily in georgia, alabama, florida, north carolina, and south carolina. the company operates through five segments: banking division, retail mortgage division, warehouse lending division, sba division, and premium finance division. it offers commercial and retail checking, regular interest-bearing savings, money market, individual retirement, and certificates of deposit accounts. the company also provides commercial real estate, residential real estate mortgage, agricultural, and commercial and industrial loans; consumer loans, including motor vehicle, home improvement, and home equity loans, as well as loans secured by savings accounts and small unsecured personal credit lines. in addition, it originates, administers, and services commercial insurance premium loans and small business administration loans. the company operates 165 full service domestic banking offices and 35 mortgage and loan production offices. ameris bancorp was founded in 1971 and is headquartered in atlanta, georgia.",156,Banks,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ABEO,"abeona therapeutics inc., a clinical-stage biopharmaceutical company, develops gene and cell therapies for life-threatening rare genetic diseases. its lead program is eb-101, an autologous, gene-corrected cell therapy that is in phase iii clinical trial for recessive dystrophic epidermolysis bullosa. the company also develops abo-102, an adeno-associated virus (aav)-based gene therapy for sanfilippo syndrome type a; abo-201 to treat cln3 disease; abo-401 for the treatment of cystic fibrosis; and abo-50x for the treatment of genetic eye disorders. in addition, it is developing aav-based gene therapy through its aim vector platform programs. the company was formerly known as plasmatech biopharmaceuticals, inc. and changed its name to abeona therapeutics inc. in june 2015. abeona therapeutics inc. was incorporated in 1974 and is headquartered in new york, new york.",125,"Pharmaceuticals, Biotechnology & Life Sciences",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
ABG,"asbury automotive group, inc., together with its subsidiaries, operates as an automotive retailer in the united states. it offers a range of automotive products and services, including new and used vehicles; and vehicle repair and maintenance services, replacement parts, and collision repair services. the company also provides finance and insurance products, including arranging vehicle financing through third parties; and aftermarket products, such as extended service contracts, guaranteed asset protection debt cancellation, prepaid maintenance, and credit life and disability insurance. as of december 31, 2021, the company owned and operated 205 new vehicle franchises representing 31 brands of automobiles at 155 dealership locations; and 35 collision centers in the united states. asbury automotive group, inc. was founded in 1996 and is headquartered in duluth, georgia.",124,Retailing,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
ABM,"abm industries incorporated provides integrated facility solutions in the united states and internationally. the company operates through business & industry, technology & manufacturing, education, aviation, and technical solutions segments. it provides janitorial, facilities engineering, parking, custodial, landscaping and ground, and mechanical and electrical services; and vehicle maintenance and other services to rental car providers. the company was incorporated in 1985 and is based in new york, new york.",68,Commercial & Professional Services,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ABMD,"abiomed, inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. it also provides a continuum of care to heart failure patients. the company offers impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and impella cp, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. it also provides impella 5.0, impella ld, and impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; impella rp, a percutaneous catheter-based axial flow pump; impella smartassist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; impella connect, a cloud-based technology that enables secure and remote viewing of the automated impella controller for physicians and hospital staffs; and oxy-1 system, a portable external respiratory assistance device. in addition, the company is developing impella ecp, a pump for blood flow of greater than three liters per minute; impella xr sheath, a sheath that expands and recoils allowing small bore access and closure with impella heart pumps; impella btr, a percutaneous micro heart pump with integrated motors and sensors; and precardia, a catheter-mounted superior vena cava therapy system designed to rapidly treat acutely decompensated heart failure. abiomed, inc. sells its products through direct sales and clinical support personnel in the germany, france, united states, japan, europe, canada, latin america, the asia-pacific, and the middle east. the company was founded in 1981 and is headquartered in danvers, massachusetts.",280,Health Care Equipment & Services,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
ABT,"abbott laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. it operates in four segments: established pharmaceutical products, diagnostic products, nutritional products, and medical devices. the established pharmaceutical products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. the diagnostic products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of dna and rna from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for hiv, sars-cov-2, influenza a and b, rsv, and strep a; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. the nutritional products segment provides pediatric and adult nutritional products. the medical devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. abbott laboratories was founded in 1888 and is based in north chicago, illinois.",247,Health Care Equipment & Services,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
ABTX,none,1,Banks,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
AC,"associated capital group, inc. provides investment advisory services in the united states. the company offers alternative investment management and asset management services. it also invests in new and existing businesses. the company was founded in 1976 and is headquartered in greenwich, connecticut.",42,Diversified Financials,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ACA,"arcosa, inc., together with its subsidiaries, provides infrastructure-related products and solutions for the construction, energy, and transportation markets in north america. it operates through three segments: construction products, engineered structures, and transportation products. the construction products segment offers natural and recycled aggregates; specialty materials; and trench shields and shoring products for residential and non-residential construction, agriculture, specialty building products, as well as for infrastructure related projects. the engineered structures segment provides utility structures, wind towers, traffic and lighting structures, telecommunication structures, storage and distribution tanks for electricity transmission and distribution, wind power generation, highway road construction, and wireless communication markets, as well as for gas and liquids storage and transportation for residential, commercial, energy, agriculture, and industrial markets. the transportation products segment offers inland barges; fiberglass barge covers, winches, and other components; cast components for industrial and mining sectors; and axles, circular forgings, coupling devices for freight, tank, locomotive, and passenger rail transportation equipment, as well as other industrial uses. arcosa, inc. was incorporated in 2018 and is headquartered in dallas, texas.",172,Capital Goods,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ACAD,"acadia pharmaceuticals inc., a biopharmaceutical company, focuses on the development and commercialization of small molecule drugs that address unmet medical needs in central nervous system disorders. the company offers nuplazid (pimavanserin) for the treatment of hallucinations and delusions associated with parkinson's disease psychosis. it's pipeline include, pimavanserin, under phase 3 development for the treatment of alzheimer's disease psychosis, and negative symptoms of schizophrenia; trofinetide, a novel synthetic analog, under phase 3 development for the treatment of rett syndrome; acp-044, a novel first-in-class orally administered non-opioid analgesic, under phase 2 development for treating acute and chronic pain; and acp-319, a positive allosteric modulator of the muscarinic receptor, under phase 1 development for treating schizophrenia and cognition in alzheimer's. acadia pharmaceuticals inc. was founded in 1993 and is headquartered in san diego, california.",131,"Pharmaceuticals, Biotechnology & Life Sciences",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
ACBI,none,1,Banks,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ACC,none,1,Real Estate,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
ACCO,"acco brands corporation designs, manufactures, and markets consumer, school, technology, and office products. it operates through three segments: acco brands north america, acco brands emea, and acco brands international. the company provides computer and gaming accessories, calendars, planners, dry erase boards, school notebooks, and janitorial supplies; storage and organization products, such as lever-arch binders, sheet protectors, and indexes; laminating, binding, and shredding machines; writing instruments and art products; stapling and punching products; and do-it-yourself tools. it offers its products under the at-a-glance, barrilito, derwent, esselte, five star, foroni, gbc, hilroy, kensington, leitz, marbig, mead, nobo, powera, quartet, rapid, rexel, swingline, tilibra, trusens, and spirax brand names. the company markets and sells its products through various channels, including mass retailers, e-tailers, discount, drug/grocery, and variety chains; warehouse clubs; hardware and specialty stores; independent office product dealers; office superstores; wholesalers; contract stationers; and technology specialty businesses, as well as sells products directly to commercial and consumer end-users through its e-commerce platform and direct sales organization. acco brands corporation was founded in 1893 and is headquartered in lake zurich, illinois.",177,Commercial & Professional Services,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ACER,"acer therapeutics inc., a pharmaceutical company, focuses on the acquisition, development, and commercialization of therapies for serious rare and life-threatening diseases. its pipeline includes four clinical-stage candidates comprising edsivo for the treatment of vascular ehlers-danlos syndrome in patients with a confirmed type iii collagen mutation; acer-001, a formulation of sodium phenylbutyrate for the treatment of various inborn errors of metabolism, including urea cycle disorders and maple syrup urine disease; acer-801 (osanetant) for the treatment of induced vasomotor symptoms; and acer-2820 (emetine), a host-directed therapy against a variety of infectious diseases, including covid-19. the company has a research collaboration agreement with the national center for advancing translational sciences (ncats) to develop emetine hydrochloride as a potential treatment for patients with covid-19; and a license agreement with sanofi to acquire worldwide rights to osanetant, a clinical-stage, selective, and non-peptide tachykinin nk3 receptor antagonist. acer therapeutics inc. was incorporated in 1991 and is headquartered in newton, massachusetts.",154,"Pharmaceuticals, Biotechnology & Life Sciences",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
ACGL,"arch capital group ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. the company's insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile and inland marine products. it also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employer's liability; and contract and commercial surety coverages. this segment markets its products through a group of licensed independent retail and wholesale brokers. its reinsurance segment provides casualty reinsurance for third party liability and workers' compensation exposures; marine and aviation; surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. this segment markets its reinsurance products through brokers. the company's mortgage segment offers direct mortgage insurance and mortgage reinsurance. the company was incorporated in 1995 and is based in pembroke, bermuda.",210,Insurance,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
ACHC,"acadia healthcare company, inc. provides behavioral healthcare services in the united states and puerto rico. the company offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric hospitals, specialty treatment facilities, residential treatment centers, and outpatient clinics. as of march 31, 2022, it operated a network of 238 behavioral healthcare facilities with approximately 10,600 beds. the company was founded in 2005 and is headquartered in franklin, tennessee.",70,Health Care Equipment & Services,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
ACIA,none,1,Technology Hardware & Equipment,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
ACIW,"aci worldwide, inc., a software company, develops, markets, installs, and supports a range of software products and solutions for facilitating digital payments to banks, merchants, and billers worldwide. the company offers aci acquiring, a merchant management system to deliver digital innovation, improve fraud prevention, and reduce interchange fees; aci issuing, a digital payments issuing solution; and aci enterprise payments platform that provides payment processing and orchestration capabilities for digital payments. it also provides aci low value real-time payments, a platform for processing real-time payments; and aci high value real-time payments, a payments engine that offers multi-bank, multi-currency, 24x7 payment processing, and swift messaging. in addition, the company offers aci omni commerce, a scalable, omni-channel payment processing platform; aci secure ecommerce solution; aci fraud management, a real-time approach to fraud management; aci digital business banking, a cloud-based digital banking platform; and aci speedpay, an integrated suite of digital billing, payment, disbursement, and communication services. the company offers electronic bill presentment and payment services to consumer finance, insurance, healthcare, higher education, utility, government, and mortgage sectors; implementation services, including product installations and configurations, and custom software modifications; and business and technical consultancy, on-site support, product education, and testing services, as well as distributes or acts as a sales agent for software developed by third parties. it markets its products under the aci worldwide brand. the company was formerly known as transaction systems architects, inc. and changed its name to aci worldwide, inc. in july 2007. the company was founded in 1975 and is based in coral gables, florida.",256,Software & Services,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
ACLS,"axcelis technologies, inc. designs, manufactures, and services ion implantation and other processing equipment used in the fabrication of semiconductor chips in the united states, europe, and asia. the company offers high energy, high current, and medium current implanters for various application requirements. it also provides aftermarket lifecycle products and services, including used tools, spare parts, equipment upgrades, maintenance services, and customer training. it sells its equipment and services to semiconductor chip manufacturers through its direct sales force. the company was founded in 1978 and is headquartered in beverly, massachusetts.",89,Semiconductors & Semiconductor Equipment,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
ACM,"aecom, together with its subsidiaries, provides professional infrastructure consulting services for governments, businesses, and organizations in the americas, europe, the middle east, africa, and the asia pacific. it operates through three segments: americas, international, and aecom capital. the company offers planning, consulting, architectural and engineering design, construction and program management, and investment and development services to commercial and government clients. it also invests in and develops real estate projects. in addition, the company provides construction services, including building construction and energy, and infrastructure and industrial construction. it serves transportation, water, government, facilities, environmental, and energy sectors. the company was formerly known as aecom technology corporation and changed its name to aecom in january 2015. aecom was incorporated in 1980 and is headquartered dallas, texas.",124,Capital Goods,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ACN,"accenture plc, a professional services company, provides strategy and consulting, interactive, industry x, song, and technology and operation services worldwide. the company offers application services, including agile transformation, devops, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and application management services, as well as software engineering services; strategy and consulting services; data and analytics strategy, data discovery and augmentation, data management and beyond, data democratization, and industrialized solutions comprises turnkey analytics and artificial intelligence (ai) solutions; metaverse; and sustainability services. it also provides change management, hr transformation and delivery, organization strategy and design, talent strategy and development, and leadership and culture services; digital commerce; infrastructure services, including cloud infrastructure managed, cloud and data center, network, digital workplace, database platforms, service management, and cloud and infrastructure security services; data-enabled operating models; technology consulting and ai services; and technology consulting services. in addition, the company offers engineering and r&d digitization, smart connected products, product as-a-service enablement, capital projects, intelligent asset management, digital industrial workforce, and autonomous robotic systems; business process outsourcing; and services related to technology innovation. further, it provides cloud, ecosystem, marketing, security, supply chain management, zero-based transformation, customer experience, finance consulting, mergers and acquisitions, and sustainability services. the company was founded in 1951 and is based in dublin, ireland.",223,Software & Services,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
