ticker,industry_group
EXAS,"Pharmaceuticals, Biotechnology & Life Sciences"
EXC,Utilities
EXEL,"Pharmaceuticals, Biotechnology & Life Sciences"
EXLS,Software & Services
EXP,Materials
EXPD,Transportation
EXPE,Retailing
EXPI,Real Estate
EXPO,Commercial & Professional Services
EXPR,Retailing
EXR,Real Estate
EXTN,Energy
EXTR,Technology Hardware & Equipment
EYE,Retailing
EYPT,"Pharmaceuticals, Biotechnology & Life Sciences"
EZPW,Diversified Financials
F,Automobiles & Components
FAF,Insurance
FANG,Energy
FARM,"Food, Beverage & Tobacco"
FARO,Technology Hardware & Equipment
FAST,Capital Goods
FATE,"Pharmaceuticals, Biotechnology & Life Sciences"
FB,Media & Entertainment
FBC,Banks
FBHS,Capital Goods
FBIZ,Banks
FBK,Banks
FBM,Capital Goods
FBMS,Banks
FBNC,Banks
FBP,Banks
FC,Commercial & Professional Services
FCAP,Banks
FCBC,Banks
FCBP,Banks
FCCY,Banks
FCF,Banks
FCFS,Diversified Financials
FCN,Commercial & Professional Services
FCNCA,Banks
FCPT,Real Estate
FCX,Materials
FDBC,Banks
FDEF,Banks
FDP,"Food, Beverage & Tobacco"
FDS,Diversified Financials
FDX,Transportation
FE,Utilities
FELE,Capital Goods
FET,Energy
FEYE,Software & Services
FF,Materials
FFBC,Banks
FFG,Insurance
FFIC,Banks
FFIN,Banks
FFIV,Technology Hardware & Equipment
FFNW,Banks
FFWM,Banks
FG,Diversified Financials
FGBI,Banks
FGEN,"Pharmaceuticals, Biotechnology & Life Sciences"
FHB,Banks
FHI,Diversified Financials
FHN,Banks
FI,Energy
FIBK,Banks
FICO,Software & Services
FIS,Software & Services
FISI,Banks
FISV,Software & Services
FIT,Technology Hardware & Equipment
FITB,Banks
FIVE,Retailing
FIVN,Software & Services
FIX,Capital Goods
FIXX,"Pharmaceuticals, Biotechnology & Life Sciences"
FIZZ,"Food, Beverage & Tobacco"
FL,Retailing
FLDM,"Pharmaceuticals, Biotechnology & Life Sciences"
FLIC,Banks
FLIR,Technology Hardware & Equipment
FLMN,Energy
FLNT,Media & Entertainment
FLO,"Food, Beverage & Tobacco"
FLOW,Capital Goods
FLR,Capital Goods
FLS,Capital Goods
FLT,Software & Services
FLWS,Retailing
FLXN,"Pharmaceuticals, Biotechnology & Life Sciences"
FLXS,Consumer Durables & Apparel
FMAO,Banks
FMBH,Banks
FMBI,Banks
FMC,Materials
FMNB,Banks
FN,Technology Hardware & Equipment
FNB,Banks
FNCB,Banks
FND,Retailing
FNF,Insurance
FNHC,Insurance
FNKO,Retailing
FNLC,Banks
FNWB,Banks
FOCS,Diversified Financials
FOE,Materials
FOLD,"Pharmaceuticals, Biotechnology & Life Sciences"
FOR,Real Estate
FORM,Semiconductors & Semiconductor Equipment
FORR,Commercial & Professional Services
FOSL,Consumer Durables & Apparel
FOX,Media & Entertainment
FOXA,Media & Entertainment
FOXF,Automobiles & Components
FPI,Real Estate
FPRX,"Pharmaceuticals, Biotechnology & Life Sciences"
FR,Real Estate
FRAF,Banks
FRBA,Banks
FRBK,Banks
FRC,Banks
FREQ,"Pharmaceuticals, Biotechnology & Life Sciences"
FRGI,Consumer Services
FRME,Banks
FRPH,Real Estate
FRPT,"Food, Beverage & Tobacco"
FRT,Real Estate
FRTA,Materials
FSB,Banks
FSBW,Banks
FSCT,Software & Services
FSLR,Semiconductors & Semiconductor Equipment
FSP,Real Estate
FSS,Capital Goods
FSTR,Capital Goods
FTDR,Consumer Services
FTK,Materials
FTNT,Software & Services
FTSI,Energy
FTV,Capital Goods
FUL,Materials
FULC,"Pharmaceuticals, Biotechnology & Life Sciences"
FULT,Banks
FVCB,Banks
FWONA,Media & Entertainment
FWONK,Media & Entertainment
FWRD,Transportation
G,Software & Services
GABC,Banks
GAIA,Media & Entertainment
GALT,"Pharmaceuticals, Biotechnology & Life Sciences"
GATX,Capital Goods
GBCI,Banks
GBL,Diversified Financials
GBLI,Insurance
GBT,"Pharmaceuticals, Biotechnology & Life Sciences"
GBX,Capital Goods
GCAP,Diversified Financials
GCBC,Banks
GCI,Media & Entertainment
GCO,Retailing
GCP,Materials
GD,Capital Goods
GDDY,Software & Services
GDEN,Consumer Services
GDOT,Diversified Financials
GDP,Energy
GE,Capital Goods
GEF,Materials
GEF/B,Materials
GEN,Health Care Equipment & Services
GENC,Capital Goods
GEO,Real Estate
GEOS,Energy
GERN,"Pharmaceuticals, Biotechnology & Life Sciences"
GES,Retailing
GFF,Capital Goods
GFN,Capital Goods
GGG,Capital Goods
GH,Health Care Equipment & Services
GHC,Consumer Services
GHL,Diversified Financials
GHM,Capital Goods
GIII,Consumer Durables & Apparel
GILD,"Pharmaceuticals, Biotechnology & Life Sciences"
GIS,"Food, Beverage & Tobacco"
GKOS,Health Care Equipment & Services
GL,Insurance
GLDD,Capital Goods
GLIBA,Telecommunication Services
GLNG,Energy
GLOG,Energy
GLPI,Real Estate
GLRE,Insurance
GLT,Materials
GLUU,Media & Entertainment
GLW,Technology Hardware & Equipment
GLYC,"Pharmaceuticals, Biotechnology & Life Sciences"
GM,Automobiles & Components
GME,Retailing
GMED,Health Care Equipment & Services
GMRE,Real Estate
GMS,Capital Goods
GNC,Retailing
GNE,Utilities
GNK,Transportation
GNL,Real Estate
GNLN,Retailing
GNMK,Health Care Equipment & Services
GNRC,Capital Goods
GNTX,Automobiles & Components
GNTY,Banks
GNW,Insurance
GO,Food & Staples Retailing
GOGO,Telecommunication Services
GOLF,Consumer Durables & Apparel
GOOD,Real Estate
GOOG,Media & Entertainment
GOOGL,Media & Entertainment
GORO,Materials
GOSS,"Pharmaceuticals, Biotechnology & Life Sciences"
GPC,Retailing
GPI,Retailing
GPK,Materials
GPMT,Diversified Financials
GPN,Software & Services
GPOR,Energy
GPRE,Energy
GPRO,Consumer Durables & Apparel
GPS,Retailing
GPX,Commercial & Professional Services
GRA,Materials
GRBK,Consumer Durables & Apparel
GRC,Capital Goods
GRIF,Real Estate
GRMN,Consumer Durables & Apparel
GRPN,Retailing
GRTS,"Pharmaceuticals, Biotechnology & Life Sciences"
GRTX,"Pharmaceuticals, Biotechnology & Life Sciences"
GRUB,Retailing
GS,Diversified Financials
GSBC,Banks
GSHD,Insurance
GSIT,Semiconductors & Semiconductor Equipment
GT,Automobiles & Components
GTES,Capital Goods
GTHX,"Pharmaceuticals, Biotechnology & Life Sciences"
GTLS,Capital Goods
GTN,Media & Entertainment
GTS,Health Care Equipment & Services
GTT,Software & Services
GTY,Real Estate
GTYH,Software & Services
GVA,Capital Goods
GWB,Banks
GWGH,Diversified Financials
GWRE,Software & Services
GWRS,Utilities
GWW,Capital Goods
H,Consumer Services
HA,Transportation
HAE,Health Care Equipment & Services
HAFC,Banks
HAIN,"Food, Beverage & Tobacco"
HAL,Energy
HALL,Insurance
HALO,"Pharmaceuticals, Biotechnology & Life Sciences"
HARP,"Pharmaceuticals, Biotechnology & Life Sciences"
HAS,Consumer Durables & Apparel
HASI,Real Estate
HAYN,Materials
HBAN,Banks
HBB,Consumer Durables & Apparel
HBCP,Banks
HBI,Consumer Durables & Apparel
HBMD,Banks
HBNC,Banks
HBT,Banks
HCA,Health Care Equipment & Services
HCAT,Health Care Equipment & Services
HCC,Materials
HCCI,Commercial & Professional Services
HCI,Insurance
HCKT,Software & Services
HCSG,Commercial & Professional Services
HD,Retailing
HDS,Capital Goods
HE,Utilities
HEES,Capital Goods
HEI,Capital Goods
HEI/A,Capital Goods
HELE,Consumer Durables & Apparel
HES,Energy
HFC,Energy
HFFG,Food & Staples Retailing
HFWA,Banks
HGV,Consumer Services
HHC,Real Estate
HI,Capital Goods
HIBB,Retailing
HIFS,Banks
HIG,Insurance
HII,Capital Goods
HIW,Real Estate
HL,Materials
HLF,Household & Personal Products
HLI,Diversified Financials
HLIO,Capital Goods
HLIT,Technology Hardware & Equipment
HLNE,Diversified Financials
HLT,Consumer Services
HLX,Energy
HMHC,Consumer Services
HMN,Insurance
HMST,Banks
HMSY,Health Care Equipment & Services
HMTV,Media & Entertainment
HNGR,Health Care Equipment & Services
HNI,Commercial & Professional Services
HNRG,Energy
HOFT,Consumer Durables & Apparel
HOG,Automobiles & Components
HOLX,Health Care Equipment & Services
HOMB,Banks
HOME,Retailing
HON,Capital Goods
HONE,Banks
HOOK,"Pharmaceuticals, Biotechnology & Life Sciences"
HOPE,Banks
HP,Energy
HPE,Technology Hardware & Equipment
HPP,Real Estate
HPQ,Technology Hardware & Equipment
HPR,Energy
HQY,Health Care Equipment & Services
HR,Real Estate
HRB,Consumer Services
HRC,Health Care Equipment & Services
HRI,Capital Goods
HRL,"Food, Beverage & Tobacco"
HRTG,Insurance
HRTX,"Pharmaceuticals, Biotechnology & Life Sciences"
HSC,Commercial & Professional Services
HSIC,Health Care Equipment & Services
HSII,Commercial & Professional Services
HSKA,Health Care Equipment & Services
HST,Real Estate
HSTM,Health Care Equipment & Services
HSY,"Food, Beverage & Tobacco"
HT,Real Estate
HTA,Real Estate
HTBI,Banks
HTBK,Banks
HTH,Banks
HTLD,Transportation
HTLF,Banks
HTZ,Transportation
HUBB,Capital Goods
HUBG,Transportation
HUBS,Software & Services
HUD,Retailing
HUM,Health Care Equipment & Services
HUN,Materials
HURC,Capital Goods
HURN,Commercial & Professional Services
HVT,Retailing
HWBK,Banks
HWC,Banks
HWKN,Materials
HWM,Capital Goods
HXL,Capital Goods
HY,Capital Goods
HZNP,"Pharmaceuticals, Biotechnology & Life Sciences"
HZO,Retailing
IAA,Commercial & Professional Services
IAC,Media & Entertainment
IART,Health Care Equipment & Services
IBCP,Banks
IBKC,Banks
IBKR,Diversified Financials
IBM,Software & Services
IBOC,Banks
IBP,Consumer Durables & Apparel
IBTX,Banks
ICD,Energy
ICE,Diversified Financials
ICFI,Commercial & Professional Services
ICHR,Semiconductors & Semiconductor Equipment
ICPT,"Pharmaceuticals, Biotechnology & Life Sciences"
ICUI,Health Care Equipment & Services
IDA,Utilities
IDCC,Technology Hardware & Equipment
IDEX,Software & Services
IDT,Telecommunication Services
IDXX,Health Care Equipment & Services
IESC,Capital Goods
IEX,Capital Goods
IFF,Materials
IGMS,"Pharmaceuticals, Biotechnology & Life Sciences"
IGT,Consumer Services
IHC,Insurance
III,Software & Services
IIIN,Capital Goods
IIIV,Software & Services
IIN,Health Care Equipment & Services
IIPR,Real Estate
IIVI,Technology Hardware & Equipment
ILMN,"Pharmaceuticals, Biotechnology & Life Sciences"
ILPT,Real Estate
IMAX,Media & Entertainment
IMGN,"Pharmaceuticals, Biotechnology & Life Sciences"
IMKTA,Food & Staples Retailing
IMMR,Technology Hardware & Equipment
IMMU,"Pharmaceuticals, Biotechnology & Life Sciences"
IMXI,Software & Services
INBK,Banks
INCY,"Pharmaceuticals, Biotechnology & Life Sciences"
INDB,Banks
INFN,Technology Hardware & Equipment
INFO,Commercial & Professional Services
INGN,Health Care Equipment & Services
INGR,"Food, Beverage & Tobacco"
INN,Real Estate
INO,"Pharmaceuticals, Biotechnology & Life Sciences"
INOV,Health Care Equipment & Services
INS,Software & Services
INSE,Consumer Services
INSG,Technology Hardware & Equipment
INSM,"Pharmaceuticals, Biotechnology & Life Sciences"
INSP,Health Care Equipment & Services
INSW,Energy
INT,Energy
INTC,Semiconductors & Semiconductor Equipment
INTL,Diversified Financials
INTU,Software & Services
INVA,"Pharmaceuticals, Biotechnology & Life Sciences"
INVH,Real Estate
INWK,Commercial & Professional Services
IONS,"Pharmaceuticals, Biotechnology & Life Sciences"
IOSP,Materials
IOTS,Semiconductors & Semiconductor Equipment
IOVA,"Pharmaceuticals, Biotechnology & Life Sciences"
IP,Materials
IPAR,Household & Personal Products
IPG,Media & Entertainment
IPGP,Technology Hardware & Equipment
IPHI,Semiconductors & Semiconductor Equipment
IPI,Materials
IQV,"Pharmaceuticals, Biotechnology & Life Sciences"
IR,Capital Goods
IRBT,Consumer Durables & Apparel
IRDM,Telecommunication Services
IRET,Real Estate
IRM,Real Estate
IRMD,Health Care Equipment & Services
IRT,Real Estate
IRTC,Health Care Equipment & Services
IRWD,"Pharmaceuticals, Biotechnology & Life Sciences"
ISBC,Banks
ISRG,Health Care Equipment & Services
ISTR,Banks
IT,Software & Services
ITCI,"Pharmaceuticals, Biotechnology & Life Sciences"
ITGR,Health Care Equipment & Services
ITI,Technology Hardware & Equipment
ITIC,Insurance
ITRI,Technology Hardware & Equipment
ITT,Capital Goods
ITW,Capital Goods
IVC,Health Care Equipment & Services
IVR,Diversified Financials
IVZ,Diversified Financials
J,Capital Goods
JACK,Consumer Services
JAX,Consumer Services
JAZZ,"Pharmaceuticals, Biotechnology & Life Sciences"
JBGS,Real Estate
JBHT,Transportation
JBL,Technology Hardware & Equipment
JBLU,Transportation
JBSS,"Food, Beverage & Tobacco"
JBT,Capital Goods
JCAP,Real Estate
JCI,Capital Goods
JCOM,Software & Services
JEF,Diversified Financials
JELD,Capital Goods
JHG,Diversified Financials
JILL,Retailing
JJSF,"Food, Beverage & Tobacco"
JKHY,Software & Services
JLL,Real Estate
JNCE,"Pharmaceuticals, Biotechnology & Life Sciences"
JNJ,"Pharmaceuticals, Biotechnology & Life Sciences"
JNPR,Technology Hardware & Equipment
JOE,Real Estate
JOUT,Consumer Durables & Apparel
JPM,Banks
JRVR,Insurance
JW/A,Media & Entertainment
JWN,Retailing
JYNT,Health Care Equipment & Services
K,"Food, Beverage & Tobacco"
KAI,Capital Goods
KALA,"Pharmaceuticals, Biotechnology & Life Sciences"
KALU,Materials
KALV,"Pharmaceuticals, Biotechnology & Life Sciences"
KAMN,Capital Goods
KAR,Commercial & Professional Services
KBAL,Commercial & Professional Services
KBH,Consumer Durables & Apparel
KBR,Software & Services
KDMN,"Pharmaceuticals, Biotechnology & Life Sciences"
KDP,"Food, Beverage & Tobacco"
KE,Technology Hardware & Equipment
KELYA,Commercial & Professional Services
KEM,Technology Hardware & Equipment
KEX,Transportation
KEY,Banks
KEYS,Technology Hardware & Equipment
KFRC,Commercial & Professional Services
KFY,Commercial & Professional Services
KHC,"Food, Beverage & Tobacco"
KIDS,Health Care Equipment & Services
KIM,Real Estate
KIN,"Pharmaceuticals, Biotechnology & Life Sciences"
KLAC,Semiconductors & Semiconductor Equipment
KLDO,"Pharmaceuticals, Biotechnology & Life Sciences"
KLXE,Energy
KMB,Household & Personal Products
KMI,Energy
KMPR,Insurance
KMT,Capital Goods
KMX,Retailing
KN,Technology Hardware & Equipment
KNL,Commercial & Professional Services
KNSA,"Pharmaceuticals, Biotechnology & Life Sciences"
KNSL,Insurance
KNX,Transportation
KO,"Food, Beverage & Tobacco"
KOD,"Pharmaceuticals, Biotechnology & Life Sciences"
KOP,Materials
KOS,Energy
KPTI,"Pharmaceuticals, Biotechnology & Life Sciences"
KR,Food & Staples Retailing
KRA,Materials
KRC,Real Estate
KREF,Diversified Financials
KRG,Real Estate
KRNY,Banks
KRO,Materials
KRTX,"Pharmaceuticals, Biotechnology & Life Sciences"
KRUS,Consumer Services
KRYS,"Pharmaceuticals, Biotechnology & Life Sciences"
KSS,Retailing
KSU,Transportation
KTB,Consumer Durables & Apparel
KTOS,Capital Goods
KURA,"Pharmaceuticals, Biotechnology & Life Sciences"
KVHI,Technology Hardware & Equipment
KW,Real Estate
KWR,Materials
KZR,"Pharmaceuticals, Biotechnology & Life Sciences"
L,Insurance
LAD,Retailing
LADR,Diversified Financials
LAMR,Real Estate
LANC,"Food, Beverage & Tobacco"
LAND,Real Estate
LASR,Technology Hardware & Equipment
LAUR,Consumer Services
LAWS,Capital Goods
LAZ,Diversified Financials
LB,Retailing
LBAI,Banks
LBC,Banks
LBRDA,Media & Entertainment
LBRDK,Media & Entertainment
LBRT,Energy
LC,Diversified Financials
LCI,"Pharmaceuticals, Biotechnology & Life Sciences"
LCII,Automobiles & Components
LCNB,Banks
LCTX,"Pharmaceuticals, Biotechnology & Life Sciences"
LCUT,Consumer Durables & Apparel
LDL,Capital Goods
LDOS,Software & Services
LE,Retailing
LEA,Automobiles & Components
LEAF,Retailing
LECO,Capital Goods
LEE,Media & Entertainment
LEG,Consumer Durables & Apparel
LEGH,Consumer Durables & Apparel
LEN,Consumer Durables & Apparel
LEN/B,Consumer Durables & Apparel
LEVL,Banks
LFUS,Technology Hardware & Equipment
LFVN,Household & Personal Products
LGF/A,Media & Entertainment
LGF/B,Media & Entertainment
LGIH,Consumer Durables & Apparel
LGND,"Pharmaceuticals, Biotechnology & Life Sciences"
LH,Health Care Equipment & Services
LHCG,Health Care Equipment & Services
LHX,Capital Goods
LII,Capital Goods
LILA,Media & Entertainment
LILAK,Media & Entertainment
LIN,Materials
LIND,Consumer Services
LITE,Technology Hardware & Equipment
LIVN,Health Care Equipment & Services
LIVX,Media & Entertainment
LJPC,"Pharmaceuticals, Biotechnology & Life Sciences"
LKFN,Banks
LKQ,Retailing
LL,Retailing
LLNW,Software & Services
LLY,"Pharmaceuticals, Biotechnology & Life Sciences"
LM,Diversified Financials
LMAT,Health Care Equipment & Services
LMNR,"Food, Beverage & Tobacco"
LMNX,"Pharmaceuticals, Biotechnology & Life Sciences"
LMT,Capital Goods
LNC,Insurance
LNDC,"Food, Beverage & Tobacco"
LNG,Energy
LNN,Capital Goods
LNT,Utilities
LNTH,Health Care Equipment & Services
LOB,Banks
LOCO,Consumer Services
LOGC,"Pharmaceuticals, Biotechnology & Life Sciences"
LOGM,Software & Services
LOPE,Consumer Services
LORL,Media & Entertainment
LOVE,Consumer Durables & Apparel
LOW,Retailing
LPG,Energy
LPI,Energy
LPLA,Diversified Financials
LPSN,Software & Services
LPX,Materials
LQDA,"Pharmaceuticals, Biotechnology & Life Sciences"
LQDT,Retailing
LRCX,Semiconductors & Semiconductor Equipment
LRN,Consumer Services
LSCC,Semiconductors & Semiconductor Equipment
LSI,Real Estate
LSTR,Transportation
LSXMA,Media & Entertainment
LSXMK,Media & Entertainment
LTC,Real Estate
LTHM,Materials
LTRPA,Media & Entertainment
LULU,Consumer Durables & Apparel
LUV,Transportation
LVGO,Health Care Equipment & Services
LVS,Consumer Services
LW,"Food, Beverage & Tobacco"
LXFR,Capital Goods
LXP,Real Estate
LXRX,"Pharmaceuticals, Biotechnology & Life Sciences"
LXU,Materials
LYB,Materials
LYFT,Transportation
LYV,Media & Entertainment
LZB,Consumer Durables & Apparel
M,Retailing
MA,Software & Services
MAA,Real Estate
MAC,Real Estate
MAN,Commercial & Professional Services
MANH,Software & Services
MANT,Software & Services
MAR,Consumer Services
MAS,Capital Goods
MASI,Health Care Equipment & Services
MAT,Consumer Durables & Apparel
MATW,Commercial & Professional Services
MATX,Transportation
MAXR,Capital Goods
MBI,Insurance
MBII,Materials
MBIN,Banks
MBIO,"Pharmaceuticals, Biotechnology & Life Sciences"
MBUU,Consumer Durables & Apparel
MBWM,Banks
MC,Diversified Financials
MCB,Banks
MCBC,Banks
MCBS,Banks
MCD,Consumer Services
MCFT,Consumer Durables & Apparel
MCHP,Semiconductors & Semiconductor Equipment
MCHX,Media & Entertainment
MCK,Health Care Equipment & Services
MCO,Diversified Financials
MCRB,"Pharmaceuticals, Biotechnology & Life Sciences"
MCRI,Consumer Services
MCS,Media & Entertainment
MCY,Insurance
MD,Health Care Equipment & Services
MDB,Software & Services
MDC,Consumer Durables & Apparel
MDCA,Media & Entertainment
MDGL,"Pharmaceuticals, Biotechnology & Life Sciences"
MDLA,Software & Services
MDLZ,"Food, Beverage & Tobacco"
MDP,Media & Entertainment
MDRX,Health Care Equipment & Services
MDT,Health Care Equipment & Services
MDU,Utilities
MEC,Capital Goods
MED,Household & Personal Products
MEDP,"Pharmaceuticals, Biotechnology & Life Sciences"
MEET,Media & Entertainment
MEI,Technology Hardware & Equipment
MEIP,"Pharmaceuticals, Biotechnology & Life Sciences"
MESA,Transportation
MET,Insurance
METC,Materials
MFA,Diversified Financials
MFIN,Diversified Financials
MFNC,Banks
MG,Commercial & Professional Services
MGEE,Utilities
MGLN,Health Care Equipment & Services
MGM,Consumer Services
MGNX,"Pharmaceuticals, Biotechnology & Life Sciences"
MGPI,"Food, Beverage & Tobacco"
MGRC,Commercial & Professional Services
MGTA,"Pharmaceuticals, Biotechnology & Life Sciences"
MGTX,"Pharmaceuticals, Biotechnology & Life Sciences"
MGY,Energy
MHK,Consumer Durables & Apparel
MHO,Consumer Durables & Apparel
MIC,Transportation
MIDD,Capital Goods
MIK,Retailing
MINI,Commercial & Professional Services
MIRM,"Pharmaceuticals, Biotechnology & Life Sciences"
MITK,Software & Services
MITT,Diversified Financials
MJCO,Software & Services
MKC,"Food, Beverage & Tobacco"
MKL,Insurance
MKSI,Semiconductors & Semiconductor Equipment
MKTX,Diversified Financials
MLAB,Health Care Equipment & Services
MLHR,Commercial & Professional Services
MLI,Capital Goods
MLM,Materials
MLND,"Pharmaceuticals, Biotechnology & Life Sciences"
MLP,Real Estate
MLR,Capital Goods
MLVF,Banks
MMAC,Banks
MMC,Insurance
MMI,Real Estate
MMM,Capital Goods
MMS,Software & Services
MMSI,Health Care Equipment & Services
MNK,"Pharmaceuticals, Biotechnology & Life Sciences"
MNKD,"Pharmaceuticals, Biotechnology & Life Sciences"
MNLO,"Pharmaceuticals, Biotechnology & Life Sciences"
MNOV,"Pharmaceuticals, Biotechnology & Life Sciences"
MNR,Real Estate
MNRL,Energy
MNRO,Retailing
MNSB,Banks
MNST,"Food, Beverage & Tobacco"
MNTA,"Pharmaceuticals, Biotechnology & Life Sciences"
MO,"Food, Beverage & Tobacco"
MOBL,Software & Services
MOD,Automobiles & Components
MODN,Software & Services
MOFG,Banks
MOG/A,Capital Goods
MOH,Health Care Equipment & Services
MORF,"Pharmaceuticals, Biotechnology & Life Sciences"
MORN,Diversified Financials
MOS,Materials
MOV,Consumer Durables & Apparel
MPAA,Automobiles & Components
MPB,Banks
MPC,Energy
MPW,Real Estate
MPWR,Semiconductors & Semiconductor Equipment
MPX,Consumer Durables & Apparel
MR,Energy
MRC,Capital Goods
MRCY,Capital Goods
MRK,"Pharmaceuticals, Biotechnology & Life Sciences"
MRKR,"Pharmaceuticals, Biotechnology & Life Sciences"
MRLN,Diversified Financials
MRNA,"Pharmaceuticals, Biotechnology & Life Sciences"
MRNS,"Pharmaceuticals, Biotechnology & Life Sciences"
MRO,Energy
MRSN,"Pharmaceuticals, Biotechnology & Life Sciences"
MRTN,Transportation
MRTX,"Pharmaceuticals, Biotechnology & Life Sciences"
MRVL,Semiconductors & Semiconductor Equipment
MS,Diversified Financials
MSA,Commercial & Professional Services
MSBI,Banks
MSCI,Diversified Financials
MSEX,Utilities
MSFT,Software & Services
MSGE,Media & Entertainment
MSGN,Media & Entertainment
MSGS,Media & Entertainment
MSI,Technology Hardware & Equipment
MSM,Capital Goods
MSON,Health Care Equipment & Services
MSTR,Software & Services
MTB,Banks
MTCH,Media & Entertainment
MTD,"Pharmaceuticals, Biotechnology & Life Sciences"
MTDR,Energy
MTEM,"Pharmaceuticals, Biotechnology & Life Sciences"
MTG,Banks
MTH,Consumer Durables & Apparel
MTN,Consumer Services
MTOR,Capital Goods
MTRN,Materials
MTRX,Energy
MTSC,Technology Hardware & Equipment
MTSI,Semiconductors & Semiconductor Equipment
MTW,Capital Goods
MTX,Materials
MTZ,Capital Goods
MU,Semiconductors & Semiconductor Equipment
MUR,Energy
MUSA,Retailing
MVBF,Banks
MWA,Capital Goods
MXIM,Semiconductors & Semiconductor Equipment
MXL,Semiconductors & Semiconductor Equipment
MYE,Materials
MYGN,"Pharmaceuticals, Biotechnology & Life Sciences"
MYL,"Pharmaceuticals, Biotechnology & Life Sciences"
MYOK,"Pharmaceuticals, Biotechnology & Life Sciences"
MYRG,Capital Goods
NAT,Energy
NATH,Consumer Services
NATI,Technology Hardware & Equipment
NATR,Household & Personal Products
NAV,Capital Goods
NAVI,Diversified Financials
NBEV,"Food, Beverage & Tobacco"
NBHC,Banks
NBIX,"Pharmaceuticals, Biotechnology & Life Sciences"
NBL,Energy
NBN,Banks
NBR,Energy
NBTB,Banks
NC,Energy
NCBS,Banks
NCLH,Consumer Services
NCMI,Media & Entertainment
NCR,Technology Hardware & Equipment
NCSM,Energy
NDAQ,Diversified Financials
NDLS,Consumer Services
NDSN,Capital Goods
NE,Energy
NEE,Utilities
NEM,Materials
NEO,"Pharmaceuticals, Biotechnology & Life Sciences"
NEOG,Health Care Equipment & Services
NERV,"Pharmaceuticals, Biotechnology & Life Sciences"
NESR,Energy
NEU,Materials
NEWR,Software & Services
NEX,Energy
NEXT,Energy
NFBK,Banks
NFG,Utilities
NFLX,Media & Entertainment
NG,Materials
NGHC,Insurance
NGM,"Pharmaceuticals, Biotechnology & Life Sciences"
NGS,Energy
NGVC,Food & Staples Retailing
NGVT,Materials
NHC,Health Care Equipment & Services
NHI,Real Estate
NI,Utilities
NINE,Energy
NJR,Utilities
NKE,Consumer Durables & Apparel
NKSH,Banks
NKTR,"Pharmaceuticals, Biotechnology & Life Sciences"
NL,Commercial & Professional Services
NLOK,Software & Services
NLSN,Commercial & Professional Services
NLY,Diversified Financials
NMIH,Banks
NMRK,Real Estate
NNBR,Capital Goods
NNI,Diversified Financials
NNN,Real Estate
NOC,Capital Goods
NODK,Insurance
NOG,Energy
NOV,Energy
NOVA,Utilities
NOVT,Technology Hardware & Equipment
NOW,Software & Services
NP,Materials
NPK,Capital Goods
NPO,Capital Goods
NPTN,Semiconductors & Semiconductor Equipment
NR,Energy
NRC,Health Care Equipment & Services
NRG,Utilities
NRIM,Banks
NRZ,Diversified Financials
NSA,Real Estate
NSC,Transportation
NSIT,Technology Hardware & Equipment
NSP,Commercial & Professional Services
NSSC,Technology Hardware & Equipment
NSTG,"Pharmaceuticals, Biotechnology & Life Sciences"
NTAP,Technology Hardware & Equipment
NTB,Banks
NTCT,Technology Hardware & Equipment
NTGR,Technology Hardware & Equipment
NTLA,"Pharmaceuticals, Biotechnology & Life Sciences"
NTNX,Software & Services
NTRA,"Pharmaceuticals, Biotechnology & Life Sciences"
NTRS,Diversified Financials
NTUS,Health Care Equipment & Services
NUAN,Software & Services
NUE,Materials
NUS,Household & Personal Products
NUVA,Health Care Equipment & Services
NVAX,"Pharmaceuticals, Biotechnology & Life Sciences"
NVCR,Health Care Equipment & Services
NVDA,Semiconductors & Semiconductor Equipment
NVEC,Semiconductors & Semiconductor Equipment
NVEE,Capital Goods
NVR,Consumer Durables & Apparel
NVRO,Health Care Equipment & Services
NVST,Health Care Equipment & Services
NVT,Capital Goods
NVTA,"Pharmaceuticals, Biotechnology & Life Sciences"
NWBI,Banks
NWE,Utilities
NWFL,Banks
NWL,Consumer Durables & Apparel
NWLI,Insurance
NWN,Utilities
NWPX,Capital Goods
NWS,Media & Entertainment
NWSA,Media & Entertainment
NX,Capital Goods
NXGN,Health Care Equipment & Services
NXRT,Real Estate
NXST,Media & Entertainment
NXTC,"Pharmaceuticals, Biotechnology & Life Sciences"
NYCB,Banks
NYMT,Diversified Financials
NYT,Media & Entertainment
O,Real Estate
OAS,Energy
OBNK,Banks
OC,Capital Goods
OCFC,Banks
OCN,Banks
OCUL,"Pharmaceuticals, Biotechnology & Life Sciences"
OCX,"Pharmaceuticals, Biotechnology & Life Sciences"
ODC,Household & Personal Products
ODFL,Transportation
ODP,Retailing
ODT,"Pharmaceuticals, Biotechnology & Life Sciences"
OEC,Materials
OFC,Real Estate
OFG,Banks
OFIX,Health Care Equipment & Services
OFLX,Capital Goods
OGE,Utilities
OGS,Utilities
OHI,Real Estate
OI,Materials
OII,Energy
OIS,Energy
OKE,Energy
OKTA,Software & Services
OLED,Semiconductors & Semiconductor Equipment
OLLI,Retailing
OLN,Materials
OLP,Real Estate
OMC,Media & Entertainment
OMCL,Health Care Equipment & Services
OMER,"Pharmaceuticals, Biotechnology & Life Sciences"
OMF,Diversified Financials
