ticker,text,original,preditions,predictions_score,hand_labeled
FRC,"first republic bank, together with its subsidiaries, provides private banking, private business banking, and private wealth management services to clients in metropolitan areas in the united states. it operates in two segments, commercial banking and wealth management. the company accepts deposit products, such as noninterest-bearing checking, interest-bearing checking, money market checking accounts, money market savings accounts, and passbook accounts, as well as certificates of deposit. it also offers a range of lending products that comprise residential mortgage loans, home equity lines of credit, multifamily loans, commercial real estate and construction loans, personal and business loans, single family construction loans, and other loans and lines of credit to businesses and individuals. the company's loans are secured by single family residences, multifamily buildings, and commercial real estate properties. in addition, it provides wealth management services, which include various investment strategies and products, online investment management, trust and custody, full service and online brokerage, financial and estate planning, and access to alternative investments, as well as investing, insurance, and foreign exchange services. further, the company offers online and mobile banking services; refinancing services; and atm and debit cards. as of december 31, 2021, it offered its services through 82 licensed deposit taking offices primarily in the san francisco, palo alto, los angeles, santa barbara, newport beach and san diego, california; portland, oregon; boston, massachusetts; palm beach, florida; greenwich, connecticut; new york, new york; and jackson, wyoming. it also has 12 additional offices that offer lending, wealth management, or trust services. first republic bank was founded in 1985 and is headquartered in san francisco, california.",['Banks'],"['Banks', 'Health Care Equipment & Services', 'Food & Staples Retailing', 'Pharmaceuticals, Biotechnology & Life Sciences', 'Materials']","[1.00000000e+00 1.56538920e-06 3.00031871e-07 1.40574528e-07
 3.69484923e-08]","['Banks', 'Diversified Financials']"
HBAN,"huntington bancshares incorporated operates as the bank holding company for the huntington national bank that provides commercial, consumer, and mortgage banking services in the united states. the company operates through four segments: consumer and business banking; commercial banking; vehicle finance; and regional banking and the huntington private client group (rbhpcg). the consumer and business banking segment offers financial products and services, such as checking accounts, savings accounts, money market accounts, certificates of deposit, credit cards, and consumer and small business loans, as well as investment products. this segment also provides mortgages, insurance, interest rate risk protection, foreign exchange, automated teller machine, and treasury management services, as well as online, mobile, and telephone banking services. it serves consumer and small business customers. the commercial banking segment offers regional commercial banking solutions for middle market businesses, government and public sector entities, and commercial real estate developers/reits; and specialty banking solutions for healthcare, technology and telecommunications, franchise finance, sponsor finance, and global services industries. it also provides asset finance services; capital raising solutions, sales and trading, and corporate risk management products; institutional banking services; and treasury management services. the vehicle finance segment provides financing to consumers for the purchase of automobiles, light-duty trucks, recreational vehicles, and marine craft at franchised and other select dealerships, as well as to franchised dealerships for the acquisition of new and used inventory. the rbhpcg segment offers private banking, wealth and investment management, and retirement plan services. as of march 18, 2022, the company had approximately 1,000 branches in 11 states. huntington bancshares incorporated was founded in 1866 and is headquartered in columbus, ohio.",['Banks'],"['Banks', 'Health Care Equipment & Services', 'Diversified Financials', 'Pharmaceuticals, Biotechnology & Life Sciences', 'Food & Staples Retailing']","[9.99999166e-01 3.51042436e-05 9.33043884e-06 6.43163332e-07
 4.66226766e-07]","['Banks', 'Diversified Financials']"
JPM,"jpmorgan chase & co. operates as a financial services company worldwide. it operates through four segments: consumer & community banking (ccb), corporate & investment bank (cib), commercial banking (cb), and asset & wealth management (awm). the ccb segment offers s deposit, investment and lending products, payments, and services to consumers; lending, deposit, and cash management and payment solutions to small businesses; mortgage origination and servicing activities; residential mortgages and home equity loans; and credit card, auto loan, and leasing services. the cib segment provides investment banking products and services, including corporate strategy and structure advisory, and equity and debt markets capital-raising services, as well as loan origination and syndication; payments and cross-border financing; and cash and derivative instruments, risk management solutions, prime brokerage, and research. this segment also offers securities services, including custody, fund accounting and administration, and securities lending products for asset managers, insurance companies, and public and private investment funds. the cb segment provides financial solutions, including lending, payments, investment banking, and asset management to small business, large and midsized companies, local governments, and nonprofit clients; and commercial real estate banking services to investors, developers, and owners of multifamily, office, retail, industrial, and affordable housing properties. the awm segment offers multi-asset investment management solutions in equities, fixed income, alternatives, and money market funds to institutional clients and retail investors; and retirement products and services, brokerage, custody, trusts and estates, loans, mortgages, deposits, and investment management products. the company also provides atm, online and mobile, and telephone banking services. jpmorgan chase & co. was founded in 1799 and is headquartered in new york, new york.",['Banks'],"['Banks', 'Diversified Financials', 'Health Care Equipment & Services', 'Telecommunication Services', 'Materials']","[9.96583581e-01 8.01863894e-02 1.67625098e-04 5.77337869e-06
 5.51115772e-06]","['Banks', 'Diversified Financials']"
KEY,"keycorp operates as the holding company for keybank national association that provides various retail and commercial banking products and services in the united states. it operates in two segments, consumer bank and commercial bank. the company offers various deposits, investment products and services; and personal finance and financial wellness, student loan refinancing, mortgage and home equity, lending, credit card, treasury, business advisory, wealth management, asset management, investment, cash management, portfolio management, and trust and related services to individuals and small and medium-sized businesses. it also provides a suite of banking and capital market products, such as syndicated finance, debt and equity capital market products, commercial payments, equipment finance, commercial mortgage banking, derivatives, foreign exchange, financial advisory, and public finance, as well as commercial mortgage loans comprising consumer, energy, healthcare, industrial, public sector, real estate, and technology loans for middle market clients. in addition, the company offers community development financing, securities underwriting, brokerage, and investment banking services. as of december 31, 2021, it operated through a network of approximately 999 branches and 1,317 atms in 15 states, as well as additional offices, online and mobile banking capabilities, and a telephone banking call center. keycorp was founded in 1849 and is headquartered in cleveland, ohio.",['Banks'],"['Banks', 'Health Care Equipment & Services', 'Materials', 'Pharmaceuticals, Biotechnology & Life Sciences', 'Food & Staples Retailing']","[9.99999642e-01 5.04452646e-06 7.24991651e-07 7.23264463e-07
 7.06361163e-07]","['Banks', 'Diversified Financials']"
MTB,"m&t bank corporation operates as a bank holding company that provides commercial and retail banking services. the company's business banking segment offers deposit, lending, cash management, and other financial services to small businesses and professionals. its commercial banking segment provides deposit products, commercial lending and leasing, letters of credit, and cash management services for middle-market and large commercial customers. the company's commercial real estate segment originates, sells, and services commercial real estate loans; and offers deposit services. its discretionary portfolio segment provides deposits; securities, residential real estate loans, and other assets; and short and long term borrowed funds, as well as foreign exchange services. the company's residential mortgage banking segment offers residential real estate loans for consumers and sells those loans in the secondary market; and purchases servicing rights to loans originated by other entities. its retail banking segment offers demand, savings, and time accounts; consumer installment loans, automobile and recreational finance loans, home equity loans and lines of credit, and credit cards; mutual funds and annuities; and other services. the company also provides trust and wealth management; fiduciary and custodial; insurance agency; institutional brokerage and securities; and investment management services. it offers its services through banking offices, business banking centers, telephone and internet banking, and automated teller machines. as of december 31, 2021, the company operates 688 domestic banking offices in new york state, maryland, new jersey, pennsylvania, delaware, connecticut, virginia, west virginia, and the district of columbia; and a full-service commercial banking office in ontario, canada. m&t bank corporation was founded in 1856 and is headquartered in buffalo, new york.",['Banks'],"['Banks', 'Pharmaceuticals, Biotechnology & Life Sciences', 'Materials', 'Food & Staples Retailing', 'Telecommunication Services']","[1.00000000e+00 1.74093188e-07 8.70626735e-08 6.07532300e-08
 4.06784793e-08]","['Banks', 'Diversified Financials']"
PNC,"the pnc financial services group, inc. operates as a diversified financial services company in the united states. the company's retail banking segment offers checking, savings, and money market accounts, as well as certificates of deposit; residential mortgages, home equity loans and lines of credit, auto loans, credit cards, education loans, and personal and small business loans and lines of credit; and brokerage, insurance, and investment and cash management services. this segment serves consumer and small business customers through a network of branches, atms, call centers, and online and mobile banking channels. its corporate & institutional banking segment provides secured and unsecured loans, letters of credit, and equipment leases; cash and investment management services, receivables and disbursement management services, funds transfer services, international payment services, and access to online/mobile information management and reporting; foreign exchange, derivatives, fixed income, securities underwriting, loan syndications, and mergers and acquisitions and equity capital markets advisory related services; and commercial loan servicing and technology solutions. it serves mid-sized and large corporations, and government and not-for-profit entities. the company's asset management group segment offers investment and retirement planning, customized investment management, credit and cash management solutions, and trust management and administration services for high net worth and ultra high net worth individuals, and their families; and multi-generational family planning services for ultra high net worth individuals and their families. it also provides outsourced chief investment officer, custody, private real estate, cash and fixed income client solutions, and fiduciary retirement advisory services for institutional clients. the company has 2,591 branches and 9,502 atms. the company was founded in 1852 and is headquartered in pittsburgh, pennsylvania.",['Banks'],"['Diversified Financials', 'Banks', 'Materials', 'Telecommunication Services', 'Capital Goods']","[9.96629775e-01 5.46671776e-03 1.65010651e-03 2.44971325e-05
 1.66790269e-05]","['Banks', 'Diversified Financials']"
RF,"regions financial corporation, a financial holding company, provides banking and bank-related services to individual and corporate customers. it operates through three segments: corporate bank, consumer bank, and wealth management. the corporate bank segment offers commercial banking services, such as commercial and industrial, commercial real estate, and investor real estate lending; equipment lease financing; deposit products; and securities underwriting and placement, loan syndication and placement, foreign exchange, derivatives, merger and acquisition, and other advisory services. it serves corporate, middle market, and commercial real estate developers and investors. the consumer bank segment provides consumer banking products and services related to residential first mortgages, home equity lines and loans, consumer credit cards, and other consumer loans, as well as deposits. the wealth management segment offers credit related products, and retirement and savings solutions; and trust and investment management, asset management, and estate planning services to individuals, businesses, governmental institutions, and non-profit entities. the company also provides investment and insurance products; low-income housing tax credit corporate fund syndication services; and other specialty financing services. as of march 01, 2022, it operated through a network of 1,300 banking offices and 2,000 automated teller machines across the south, midwest, and texas. regions financial corporation was founded in 1971 and is headquartered in birmingham, alabama.",['Banks'],"['Banks', 'Diversified Financials', 'Health Care Equipment & Services', 'Materials', 'Telecommunication Services']","[9.98558342e-01 3.99014689e-02 1.14135200e-03 1.04265100e-05
 5.39013990e-06]","['Banks', 'Diversified Financials']"
SIVB,"svb financial group, a diversified financial services company, offers various banking and financial products and services. it operates through four segments: global commercial bank, svb private bank, svb capital, and svb securities. the global commercial bank segment provides commercial banking products and services, including credit, treasury management, foreign exchange, trade finance, and other financial products and services. this segment also offers traditional term and equipment loans, asset-based loans, revolving lines of credit, warehouse facilities, recurring revenue and acquisition finance facilities, mezzanine lending, corporate working capital facilities, and credit card programs; treasury management products and services; business and analysis checking, money market, multi-currency, in-country bank, and sweep accounts; receivables services, which include merchant services, remote capture, lockbox, and fraud control services; wire transfer and automated clearing house payment services; business bill pay, credit and debit cards, account analysis, and disbursement services. in addition, it offers foreign exchange and trade finance products and services; letters of credit; and investment services and solutions. the svb private bank segment offers mortgages, home equity lines of credit, restricted and private stock loans, capital call lines of credit, and other secured and unsecured lending products; planning-based financial strategies, wealth management, family office, financial planning, tax planning, and trust services; and real estate secured loans. the svb capital segment provides venture capital investment services. the svb securities segment provides investment banking services; products and services, including capital raising, merger and acquisition advisory, equity research, and sales and trading. it operates through 56 offices in the united states and internationally. the company was founded in 1983 and is headquartered in santa clara, california.",['Banks'],"['Banks', 'Diversified Financials', 'Materials', 'Health Care Equipment & Services', 'Telecommunication Services']","[9.13514495e-01 2.21124932e-01 1.10582914e-04 5.32116574e-05
 1.09481516e-05]","['Banks', 'Diversified Financials']"
TFC,"truist financial corporation, a holding company, provides banking and trust services in the southeastern and mid-atlantic united states. the company operates through three segments: consumer banking and wealth, corporate and commercial banking, and insurance holdings. its deposit products include noninterest-bearing checking, interest-bearing checking, savings, and money market deposit accounts, as well as certificates of deposit and individual retirement accounts. the company also provides funding; asset management; automobile lending; bankcard lending; consumer finance; home equity and mortgage lending; insurance, such as property and casualty, life, health, employee benefits, workers compensation and professional liability, surety coverage, title, and other insurance products; investment brokerage; mobile/online banking; and payment, lease financing, small business lending, and wealth management/private banking services. in addition, it offers association, capital market, institutional trust, insurance premium and commercial finance, international banking, leasing, merchant, commercial deposit and treasury, government finance, commercial middle market lending, small business and student lending, floor plan and commercial mortgage lending, mortgage warehouse lending, private equity investment, real estate lending, and supply chain financing services. further, the company provides corporate and investment banking, retail and wholesale brokerage, securities underwriting, and investment advisory services. as of december 31, 2021, the company operated through 2,517 banking offices. the company was formerly known as bb&t corporation and changed its name to truist financial corporation in december 2019. truist financial corporation was founded in 1872 and is headquartered in charlotte, north carolina.",['Banks'],"['Banks', 'Utilities', 'Diversified Financials', 'Materials', 'Food & Staples Retailing']","[9.99661088e-01 1.74702349e-04 3.59874393e-05 1.97051304e-05
 1.76205431e-05]","['Banks', 'Diversified Financials']"
USB,"u.s. bancorp, a financial services holding company, provides various financial services to individuals, businesses, institutional organizations, governmental entities and other financial institutions in the united states. it operates in corporate and commercial banking, consumer and business banking, wealth management and investment services, payment services, and treasury and corporate support segments. the company offers depository services, including checking accounts, savings accounts, and time certificate contracts; lending services, such as traditional credit products; and credit card services, lease financing and import/export trade, asset-backed lending, agricultural finance, and other products. it also provides ancillary services comprising capital markets, treasury management, and receivable lock-box collection services to corporate and governmental entity customers; and a range of asset management and fiduciary services for individuals, estates, foundations, business corporations, and charitable organizations. in addition, the company offers investment and insurance products to its customers principally within its markets, as well as fund administration services to a range of mutual and other funds. further, it provides corporate and purchasing card, and corporate trust services; and merchant processing services, as well as investment management, atm processing, mortgage banking, insurance, and brokerage and leasing services. as of december 31, 2021, the company provided its products and services through a network of 2,230 banking offices principally operating in the midwest and west regions of the united states, as well as through on-line services, over mobile devices, and other distribution channels; and operated a network of 4,059 atms. the company was founded in 1863 and is headquartered in minneapolis, minnesota.",['Banks'],"['Banks', 'Diversified Financials', 'Materials', 'Utilities', 'Telecommunication Services']","[9.96997476e-01 6.61400787e-04 1.32285088e-04 1.32186869e-05
 6.82329892e-06]","['Banks', 'Diversified Financials']"
WFC,"wells fargo & company, a diversified financial services company, provides banking, investment, mortgage, and consumer and commercial finance products and services in the united states and internationally. it operates through four segments: consumer banking and lending; commercial banking; corporate and investment banking; and wealth and investment management. the consumer banking and lending segment offers diversified financial products and services for consumers and small businesses. its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. the commercial banking segment provides financial solutions to private, family owned, and certain public companies. its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. the corporate and investment banking segment offers a suite of capital markets, banking, and financial products and services to corporate, commercial real estate, government, and institutional clients. its products and services comprise corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services. the wealth and investment management segment provides personalized wealth management, brokerage, financial planning, lending, private banking, and trust and fiduciary products and services to affluent, high-net worth, and ultra-high-net worth clients. it also operates through financial advisors. wells fargo & company was founded in 1852 and is headquartered in san francisco, california.",['Banks'],"['Banks', 'Diversified Financials', 'Materials', 'Health Care Equipment & Services', 'Food & Staples Retailing']","[9.77675915e-01 2.54328012e-01 4.52449967e-05 3.14067984e-06
 4.96601615e-07]","['Banks', 'Diversified Financials']"
ZION,"zions bancorporation, national association provides various banking and related services primarily in the states of arizona, california, colorado, idaho, nevada, new mexico, oregon, texas, utah, washington, and wyoming. the company offers corporate banking services; commercial banking, including a focus on small- and medium-sized businesses; commercial real estate banking services; municipal and public finance services; retail banking, including residential mortgages; trust services; wealth management and private client banking services; and capital markets products and services. as of december 31, 2020, it operated 422 branches, which included 273 owned and 149 leased. the company was formerly known as zb, national association and changed its name to zions bancorporation, national association in september 2018. zions bancorporation, national association was founded in 1873 and is headquartered in salt lake city, utah.",['Banks'],"['Banks', 'Health Care Equipment & Services', 'Pharmaceuticals, Biotechnology & Life Sciences', 'Food & Staples Retailing', 'Consumer Services']","[9.99998569e-01 1.41457072e-04 5.39244174e-05 5.26820586e-05
 3.95663810e-05]","['Banks', 'Diversified Financials']"
ALLE,"allegion plc manufactures and sells mechanical and electronic security products and solutions worldwide. the company offers door closers, controls, and exit devices; locks, locksets, portable locks, and key systems and services; electronic security products and access control systems; time, attendance, and workforce productivity systems; doors and door systems; and other accessories. the company sells its products and solutions to end-users in commercial, institutional, and residential facilities, including education, healthcare, government, hospitality, commercial office, and single and multi-family residential markets under the cisa, interflex, lcn, schlage, simonsvoss, and von duprin brands. it sells its products and solutions through distribution and retail channels, such as specialty distribution, e-commerce, and wholesalers, as well as through various retail channels comprising do-it-yourself home improvement centers, on-line and e-commerce platforms, and small specialty showroom outlets. allegion plc was incorporated in 2013 and is headquartered in dublin, ireland.",['Capital Goods'],"['Capital Goods', 'Commercial & Professional Services', 'Health Care Equipment & Services', 'Technology Hardware & Equipment', 'Materials']",[0.9842599  0.16079599 0.09806096 0.00314133 0.00281664],"['Capital Goods', 'Commercial & Professional Services']"
