ticker,text,original,preditions,predictions_score,hand_labeled
L,"loews corporation provides commercial property and casualty insurance in the united states and internationally. the company offers specialty insurance products, such as management and professional liability, and other coverage products; surety and fidelity bonds; property insurance products that include property, marine and boiler, and machinery coverages; and casualty insurance products, such as workers' compensation, general and product liability, and commercial auto and umbrella coverages. it also provides loss-sensitive insurance programs; and warranty, risk management, information, and claims administration services. the company markets its insurance products and services through independent agents, brokers, and managing general underwriters. in addition, the company is involved in the transportation and storage of natural gas and natural gas liquids(ngls), and hydrocarbons through natural gas pipelines covering approximately 13,615 miles of interconnected pipelines; 450 miles of ngl pipelines in louisiana and texas; 14 underground storage fields with an aggregate gas capacity of approximately 213 billion cubic feet of natural gas; and eleven salt dome caverns and related brine infrastructure for providing brine supply services. further, the company operates a chain of 26 hotels; and develops, manufactures, and markets a range of extrusion blow-molded and injection molded plastic containers for customers in the pharmaceutical, dairy, household chemicals, food/nutraceuticals, industrial/specialty chemicals, and water and beverage/juice segments, as well as manufactures commodity and differentiated plastic resins from recycled plastic materials. loews corporation was incorporated in 1969 and is headquartered in new york, new york.",['Insurance'],"['Diversified Financials', 'Insurance', 'Capital Goods', 'Consumer Durables & Apparel', 'Commercial & Professional Services']",[0.60704631 0.03807915 0.03319512 0.02114649 0.00599139],"['Diversified Financials', 'Insurance', 'Capital Goods', 'Energy', 'Utilities', 'Consumer Services']"
LNC,"lincoln national corporation, through its subsidiaries, operates multiple insurance and retirement businesses in the united states. it operates through four segments: annuities, retirement plan services, life insurance, and group protection. the annuities segment offers fixed, variable, and indexed variable annuities. the retirement plan services segment provides employers with retirement plan products and services primarily in the defined contribution retirement plan marketplace. this segment offers individual and group variable annuities, group fixed annuities, and mutual fund-based programs; and a range of plan services, including plan recordkeeping, compliance testing, participant education, and trust and custodial services. the life insurance segment provides life insurance products, including term insurance, such as single and survivorship versions of universal life insurance; variable universal life insurance; indexed universal life insurance products; and critical illness and long-term care riders. the group protection segment offers group non-medical insurance products comprising short and long-term disability, statutory disability and paid family medical leave administration and absence management services, term life, dental, vision and accident, and critical illness benefits and services to the employer marketplace through various forms of employee-paid and employer-paid plans. the company distributes its products through consultants, brokers, planners, agents, financial advisors, third-party administrators, and other intermediaries. lincoln national corporation was founded in 1905 and is based in radnor, pennsylvania.",['Insurance'],"['Insurance', 'Health Care Equipment & Services', 'Commercial & Professional Services', 'Capital Goods', 'Food, Beverage & Tobacco']","[9.92919981e-01 4.56459261e-03 1.78963703e-03 5.86853770e-04
 2.82203226e-04]",['Insurance']
MET,"metlife, inc., a financial services company, provides insurance, annuities, employee benefits, and asset management services worldwide. it operates through five segments: u.s.; asia; latin america; europe, the middle east and africa; and metlife holdings. the company offers life, dental, group short-and long-term disability, individual disability, pet insurance, accidental death and dismemberment, vision, and accident and health coverages, as well as prepaid legal plans; administrative services-only arrangements to employers; and general and separate account, and synthetic guaranteed interest contracts, as well as private floating rate funding agreements. it also provides pension risk transfers, institutional income annuities, structured settlements, and capital markets investment products; and other products and services, such as life insurance products and funding agreements for funding postretirement benefits, as well as company, bank, or trust-owned life insurance used to finance nonqualified benefit programs for executives. in addition, it provides fixed, indexed-linked, and variable annuities; and pension products; regular savings products; whole and term life, endowments, universal and variable life, and group life products; longevity reinsurance solutions; credit insurance products; and protection against long-term health care services. metlife, inc. was founded in 1863 and is headquartered in new york, new york.",['Insurance'],"['Diversified Financials', 'Insurance', 'Health Care Equipment & Services', 'Telecommunication Services', 'Commercial & Professional Services']",[0.20460382 0.07819982 0.00702177 0.00097908 0.00075257],"['Diversified Financials', 'Insurance']"
MMC,"marsh & mclennan companies, inc., a professional services company, provides advice and solutions to clients in the areas of risk, strategy, and people worldwide. it operates in two segments, risk and insurance services, and consulting. the risk and insurance services segment offers risk management services, such as risk advice, risk transfer, and risk control and mitigation solutions, as well as insurance and reinsurance broking, catastrophe and financial modeling, and related advisory services; and insurance program management services. this segment serves businesses, public entities, insurance companies, associations, professional services organizations, and private clients. the consulting segment provides health, wealth, and career consulting services and products; and specialized management, as well as economic and brand consulting services. marsh & mclennan companies, inc. was founded in 1871 and is headquartered in new york, new york.",['Insurance'],"['Commercial & Professional Services', 'Diversified Financials', 'Insurance', 'Capital Goods', 'Materials']","[3.23958725e-01 4.07930464e-02 1.73674114e-02 9.06567031e-04
 1.45582444e-05]","['Commercial & Professional Services', 'Insurance']"
PFG,"principal financial group, inc. provides retirement, asset management, and insurance products and services to businesses, individuals, and institutional clients worldwide. the company operates through retirement and income solutions, principal global investors, principal international, and u.s. insurance solutions segments. the retirement and income solutions segment provides a portfolio of asset accumulation products and services for retirement savings and income. it offers products and services for defined contribution plans, including 401(k) and 403(b) plans, defined benefit pension plans, nonqualified executive benefit plans, employee stock ownership plans, equity compensation, and pension risk transfer services; individual retirement accounts; investment only products; and mutual funds, individual variable annuities, and bank products. the principal global investors segment provides equity, fixed income, real estate, and other alternative investments, as well as asset allocation, stable value management, and other structured investment strategies. the principal international segment offers pension accumulation products and services, mutual funds, asset management, income annuities, and life insurance accumulation products, as well as voluntary savings plans in brazil, chile, mexico, china, hong kong special administrative region, india, and southeast asia. the u.s. insurance solutions segment provides specialty benefits, such as group dental and vision insurance, group life insurance, and group and individual disability insurance, as well as administers group dental, disability, and vision benefits; and individual life insurance products comprising universal, variable universal, indexed universal, and term life insurance products in the united states. it also offers insurance solutions for small and medium-sized businesses and their owners, as well as executives. principal financial group, inc. was founded in 1879 and is based in des moines, iowa.",['Insurance'],"['Diversified Financials', 'Commercial & Professional Services', 'Capital Goods', 'Health Care Equipment & Services', 'Insurance']","[9.75584805e-01 2.42313277e-03 6.73734176e-04 3.32761556e-04
 2.40672918e-04]","['Diversified Financials', 'Commercial & Professional Services', 'Insurance']"
PGR,"the progressive corporation, an insurance holding company, provides personal and commercial auto, personal residential and commercial property, general liability, and other specialty property-casualty insurance products and related services in the united states. it operates in three segments: personal lines, commercial lines, and property. the personal lines segment writes insurance for personal autos and recreational vehicles (rv). this segment's products include personal auto insurance; and special lines products, including insurance for motorcycles, atvs, rvs, watercrafts, snowmobiles, and related products. the commercial lines segment provides auto-related primary liability and physical damage insurance, and business-related general liability and property insurance for autos, vans, pick-up trucks, and dump trucks used by small businesses; tractors, trailers, and straight trucks primarily used by regional general freight and expeditor-type businesses, and long-haul operators; dump trucks, log trucks, and garbage trucks used by dirt, sand and gravel, logging, and coal-type businesses; and tow trucks and wreckers used in towing services and gas/service station businesses; as well as non-fleet and airport taxis, and black-car services. the property segment writes residential property insurance for homeowners, other property owners, and renters, as well as offers personal umbrella insurance, and primary and excess flood insurance. the company also offers policy issuance and claims adjusting services; and acts as an agent to homeowner general liability, workers' compensation insurance, and other products. in addition, it provides reinsurance services. the company sells its products through independent insurance agencies, as well as directly on internet through mobile devices, and over the phone. the progressive corporation was founded in 1937 and is headquartered in mayfield, ohio.",['Insurance'],"['Insurance', 'Capital Goods', 'Diversified Financials', 'Consumer Durables & Apparel', 'Telecommunication Services']",[0.86638272 0.38817134 0.01111848 0.0085271  0.00346794],
PRU,"prudential financial, inc., together with its subsidiaries, provides insurance, investment management, and other financial products and services in the united states and internationally. it operates through eight segments: pgim, retirement, group insurance, individual annuities, individual life, assurance iq, international businesses, and closed block. the company offers investment management services and solutions related to public fixed income, public equity, real estate debt and equity, private credit and other alternatives, and multi-asset class strategies to institutional and retail clients, as well as its general account. it also provides a range of retirement investment, and income products and services to retirement plan sponsors in the public, private, and not-for-profit sectors; and group life, long-term and short-term group disability, and group corporate-, bank-, and trust-owned life insurance in the united states, primarily to institutional clients for use in connection with employee and membership benefits plans, as well as sells accidental death and dismemberment, and other supplemental health solutions; and provides plan administration services in connection with its insurance coverages. in addition, the company develops and distributes individual variable and fixed annuity products, principally to the mass affluent and affluent markets; and individual variable, term, and universal life insurance products to the mass middle, mass affluent, and affluent markets in the united states. further, it provides third-party life, health, medicare, property and casualty, and term life products to retail shoppers through its digital and independent agent channels. the company offers its products and services to individual and institutional customers through its proprietary and third-party distribution networks. prudential financial, inc. was founded in 1875 and is headquartered in newark, new jersey.",['Insurance'],"['Diversified Financials', 'Insurance', 'Banks', 'Telecommunication Services', 'Consumer Durables & Apparel']","[7.34432518e-01 2.00062692e-01 4.95879678e-03 6.39501610e-04
 2.04104843e-04]",
RE,"everest re group, ltd., through its subsidiaries, provides reinsurance and insurance products in the united states, bermuda, and internationally. the company operates through reinsurance operations and insurance operations segments. the reinsurance operations segment writes property and casualty reinsurance; and specialty lines of business through reinsurance brokers, as well as directly with ceding companies in the united states, bermuda, ireland, canada, singapore, switzerland, and the united kingdom. the insurance operations segment writes property and casualty insurance directly, as well as through brokers, surplus lines brokers, and general agents in bermuda, canada, europe, south america, canada, chile, the united kingdom, ireland, and the netherlands. the company also provides treaty and facultative reinsurance products; admitted and non-admitted insurance products; and property and casualty reinsurance and insurance coverages, including marine, aviation, surety, errors and omissions liability, directors' and officers' liability, medical malpractice, mortgage reinsurance, other specialty lines, accident and health, and workers' compensation products. in addition, it offers commercial property and casualty insurance products through wholesale and retail brokers, surplus lines brokers, and program administrators. everest re group, ltd. was founded in 1973 and is headquartered in hamilton, bermuda.",['Insurance'],"['Insurance', 'Telecommunication Services', 'Capital Goods', 'Banks', 'Commercial & Professional Services']","[9.99985456e-01 2.31785141e-03 8.55287944e-04 1.51036889e-04
 4.79927221e-05]",
TRV,"the travelers companies, inc., through its subsidiaries, provides a range of commercial and personal property, and casualty insurance products and services to businesses, government units, associations, and individuals in the united states and internationally. the company operates through three segments: business insurance, bond & specialty insurance, and personal insurance. the business insurance segment offers workers' compensation, commercial automobile and property, general liability, commercial multi-peril, employers' liability, public and product liability, professional indemnity, marine, aviation, onshore and offshore energy, construction, terrorism, personal accident, and kidnap and ransom insurance products. this segment operates through select accounts, which serve small businesses; commercial accounts that serve mid-sized businesses; national accounts, which serve large companies; and national property and other that serve large and mid-sized customers, commercial trucking industry, and agricultural businesses, as well as markets and distributes its products through brokers, wholesale agents, and program managers. the bond & specialty insurance segment provides surety, fidelity, management and professional liability, and other property and casualty coverages and related risk management services through independent agencies and brokers. the personal insurance segment offers property and casualty insurance covering personal risks, primarily automobile and homeowners insurance to individuals through independent agencies and brokers. the travelers companies, inc. was founded in 1853 and is based in new york, new york.",['Insurance'],"['Insurance', 'Capital Goods', 'Telecommunication Services', 'Diversified Financials', 'Commercial & Professional Services']","[9.99951005e-01 8.50399083e-04 1.55361588e-04 4.53431348e-05
 7.44196177e-06]",
UNM,"unum group, together with its subsidiaries, provides financial protection benefit solutions primarily in the united states, the united kingdom, and poland. it operates through unum us, unum international, colonial life, and closed block segments. the company offers group long-term and short-term disability, group life, and accidental death and dismemberment products; supplemental and voluntary products, such as individual disability, voluntary benefits, and dental and vision products; and accident, sickness, disability, life, and cancer and critical illness products. it also provides group pension, individual life and corporate-owned life insurance, reinsurance pools and management operations, and other products. the company sells its products primarily to employers for the benefit of employees. unum group sells its products through field sales personnel, independent brokers, consultants, and independent contractor agency sales force. the company was founded in 1848 and is based in chattanooga, tennessee.",['Insurance'],"['Insurance', 'Health Care Equipment & Services', 'Commercial & Professional Services', 'Food, Beverage & Tobacco', 'Capital Goods']",[0.92380148 0.66681677 0.01871877 0.01793676 0.00410457],
WRB,"w. r. berkley corporation, an insurance holding company, operates as a commercial lines writer in the united states and internationally. it operates in two segments, insurance and reinsurance & monoline excess. the insurance segment underwrites commercial insurance business, including premises operations, commercial automobile, property, products liability, and general and professional liability lines. it also provides workers' compensation insurance products; accident and health insurance and reinsurance products; insurance for commercial risks; specialty environmental products for contractors, consultants, and property owners and facilities operators; specialized insurance coverages for fine arts and jewelry exposures; umbrella and excess liability coverage products; and liquor liability and inland marine coverage for small to medium-sized insureds. in addition, this segment offers directors and officers, and surety risk products, as well as products for technology, and life sciences and travel industries; cyber risk solutions; casualty, group life, and crime and fidelity related insurance products; personal lines insurance solutions, including home, condo/co-op, auto, and collectibles; automobile, law enforcement, public officials and educator's legal, and employment practices liability, as well as incidental medical insurance products; and at-risk and alternative risk insurance program management services. the reinsurance & monoline excess segment provides other insurance companies and self-insureds with assistance in managing their net risk through reinsurance on a portfolio basis through treaty reinsurance or on an individual basis through facultative reinsurance. w. r. berkley corporation was founded in 1967 and is based in greenwich, connecticut.",['Insurance'],"['Insurance', 'Commercial & Professional Services', 'Telecommunication Services', 'Diversified Financials', 'Banks']","[9.99632716e-01 1.37311651e-03 1.04686478e-03 8.56162049e-04
 7.31283100e-04]",
ALB,"albemarle corporation develops, manufactures, and markets engineered specialty chemicals worldwide. it operates through three segments: lithium, bromine, and catalysts. the lithium segment offers lithium compounds, including lithium carbonate, lithium hydroxide, lithium chloride, and lithium specialties; and reagents, such as butyllithium and lithium aluminum hydride for use in lithium batteries for consumer electronics and electric vehicles, high performance greases, thermoplastic elastomers for car tires, rubber soles, plastic bottles, catalysts for chemical reactions, organic synthesis processes in the areas of steroid chemistry and vitamins, life sciences, pharmaceutical industry, and other markets. it also provides cesium products for the chemical and pharmaceutical industries; zirconium, barium, and titanium products for pyrotechnical applications that include airbag initiators; technical services for the handling and use of reactive lithium products; and lithium-containing by-products recycling services. the bromine segment offers bromine and bromine-based fire safety solutions; specialty chemicals, including elemental bromine, alkyl and inorganic bromides, brominated powdered activated carbon, and other bromine fine chemicals for use in chemical synthesis, oil and gas well drilling and completion fluids, mercury control, water purification, beef and poultry processing, and other industrial applications; and other specialty chemicals, such as tertiary amines for surfactants, biocides, and disinfectants and sanitizers. the catalysts segment provides hydroprocessing, isomerization, and akylation catalysts; fluidized catalytic cracking catalysts and additives; and organometallics and curatives. the company serves the energy storage, petroleum refining, consumer electronics, construction, automotive, lubricants, pharmaceuticals, and crop protection markets. albemarle corporation was founded in 1887 and is headquartered in charlotte, north carolina.",['Materials'],"['Materials', 'Pharmaceuticals, Biotechnology & Life Sciences', 'Commercial & Professional Services', 'Energy', 'Capital Goods']","[9.99923944e-01 3.61858838e-04 6.93398324e-05 2.60751312e-05
 1.56899696e-05]",['Materials']
APD,"air products and chemicals, inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide. the company produces atmospheric gases, including oxygen, nitrogen, and argon; process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, syngas; specialty gases; and equipment for the production or processing of gases comprising air separation units and non-cryogenic generators for customers in various industries, including refining, chemical, gasification, metals, manufacturing, food and beverage, electronics, magnetic resonance imaging, energy production and refining, and metals. it also designs and manufactures equipment for air separation, hydrocarbon recovery and purification, natural gas liquefaction, and liquid helium and liquid hydrogen transport and storage. air products and chemicals, inc. has a strategic collaboration with baker hughes company to develop hydrogen compression systems. the company was founded in 1940 and is headquartered in allentown, pennsylvania.",['Materials'],"['Materials', 'Capital Goods', 'Commercial & Professional Services', 'Food, Beverage & Tobacco', 'Health Care Equipment & Services']","[9.29627895e-01 1.25459343e-01 2.70054471e-02 2.53048987e-04
 8.25643729e-05]","['Materials', 'Capital Goods']"
AVY,"avery dennison corporation manufactures and markets pressure-sensitive materials and products in the united states, europe, asia, latin america, and internationally. the company's label and graphic materials segment offers pressure-sensitive label and packaging materials under the fasson, jac, and avery dennison brands; graphics products under the avery dennison and mactac brands; and reflective products under the avery dennison brand. this segment provides its products to the home and personal care, beer and beverage, durables, pharmaceutical, wine and spirits, and food market segments; architectural, commercial sign, digital printing, and other related market segments; construction, automotive, and fleet transportation market segments; traffic and safety applications; and sign shops, commercial printers, and designers. the company's retail branding and information solutions segment offers brand embellishments, graphic tickets, tags and labels, and sustainable packaging solutions, as well as creative services; radio-frequency identification, visibility and loss prevention, brand protection and security, shelf-edge, and price ticketing and marking solutions; and care, content, and country of origin compliance solutions. it serves retailers, brand owners, apparel manufacturers, distributors, and industrial customers. the company's industrial and healthcare materials segment provides tapes and other pressure-sensitive adhesive-based materials and converted products, mechanical fasteners, and performance polymers under the fasson and avery dennison brands; and tapes under the yongle brand for wire harnessing and cable wrapping. it serves automotive, electronics, building and construction, electrical, general industrial, personal care, and medical markets. the company was formerly known as avery international corporation and changed its name to avery dennison corporation in 1990. avery dennison corporation was founded in 1935 and is headquartered in mentor, ohio.",['Materials'],"['Materials', 'Capital Goods', 'Automobiles & Components', 'Consumer Durables & Apparel', 'Commercial & Professional Services']",[0.47209826 0.2823334  0.02704843 0.00970678 0.00962797],"['Materials', 'Capital Goods',  'Commercial & Professional Services', 'Health Care Equipment & Services']"
