symbol,name,mc,gics_subind
ADRO,ADURO BIOTECH INC,690.553373049595,35201010
RTTR,RITTER PHARMACEUTICALS INC,7.43628767558289,35202010
GNVC,GENVEC INC,16.9185596050644,35201010
TSQ,TOWNSQUARE MEDIA INC,186.351614832907,25401020
CIDM,CINEDIGM CORP,16.7710821977672,25401030
TOWR,TOWER INTERNATIONAL INC,487.658665092575,25101010
FAF,FIRST AMERICAN FINANCIAL CP,4739.44075805664,40301040
SCL,STEPAN CO,1830.07713327417,15101050
STC,STEWART INFORMATION SERVICES,1054.38372894287,40301040
HIIQ,HEALTH INSURANCE INNOVATIONS,164.738,40301010
CASH,META FINANCIAL GROUP INC,786.334985733032,40102010
SAM,BOSTON BEER INC  -CL A,1731.13937973976,30201010
IVAC,INTEVAC INC,266.972239494324,45202030
SONS,SONUS NETWORKS INC,374.660014219535,45201020
SPLK,SPLUNK INC,8958.53836277593,45103010
JUNO,JUNO THERAPEUTICS INC,2603.62491607666,35201010
GNC,GNC HOLDINGS INC,478.098662933917,25504040
BRK.B,BERKSHIRE HATHAWAY,266.5016694402,40201030
BBY,BEST BUY CO INC,15751.3984588251,25504020
TFX,TELEFLEX INC,8703.24312400818,35101010
TPL,TEXAS PACIFIC LAND TRUST,2246.45593890993,40201030
URBN,URBAN OUTFITTERS INC,2256.03292988191,25504010
SPP,SANCHEZ PRODUCTION PARTNERS,198.850495129215,10102020
MARA,MARATHON PATENT GROUP INC,5.79074100616538,20202020
ESP,ESPEY MFG & ELECTRONICS CORP,54.5693741301056,20104010
CRR,CARBO CERAMICS INC,247.788023392484,10101020
MCC,MEDLEY CAPITAL CORP,341.008559755144,40203010
UTX,UNITED TECHNOLOGIES CORP,95642.526252761,20101010
WGL,WGL HOLDINGS INC,4228.64051495361,55102010
WRE,WASHINGTON REIT,2439.87553747467,60101010
SNFCA,SECURITY NATL FINL CP  -CL A,103.279420507479,40102010
TRST,TRUSTCO BANK CORP/NY,728.969190852642,40102010
PICO,PICO HOLDINGS INC,382.007094511413,40201030
MTEX,MANNATECH INC,39.5785572379532,30302010
IPGP,IPG PHOTONICS CORP,7210.36644878262,45203020
STS,SUPREME INDUSTRIES INC,307.778104140609,20106010
XOMA,XOMA CORP,49.4583070643305,35201010
TTEK,TETRA TECH INC,2522.65217368622,20201050
CUR,NEURALSTEM INC,54.8409333605377,35201010
PFIE,PROFIRE ENERGY INC,71.7663874489908,10101020
PFLT,PENNANTPARK FLOATING RT CAP,376.893998806027,40203010
FNB,F N B CORP/FL,4346.32823231792,40101015
CVCY,CENTRAL VALLEY CMNTY BANCORP,262.156507207871,40101015
DAL,DELTA AIR LINES INC,35055.3785376693,20302010
PAGP,PLAINS GP HOLDINGS LP,2784.19160046536,10102040
FRAN,FRANCESCAS HOLDINGS CORP,518.879986114502,25504010
QTS,QTS REALTY TRUST INC,2436.53808619983,60101080
MGNX,MACROGENICS INC,684.567016226065,35201010
EPE,EP ENERGY CORP,1112.2949623394,10102020
PBPB,POTBELLY CORP,270.493462571276,25301040
SSI,STAGE STORES INC,58.7130446414567,25504010
BCEI,BONANZA CREEK ENERGY INC,16.9307490753471,10102020
COO,COOPER COMPANIES INC,10288.0712911835,35101020
DATA,TABLEAU SOFTWARE INC,4653.20362821876,45103020
CVLY,CODORUS VALLEY BANCORP,221.630093570709,40101015
AETI,AMERICAN ELECTRIC TECH INC,15.6769462226903,20104010
PRO,PROS HOLDINGS INC,855.749730110168,45103010
BLMT,BSB BANCORP INC,279.498803695679,40102010
HLT,HILTON WORLDWIDE HOLDINGS,20582.026548056,25301020
AHP,ASHFORD HOSPITALITY PRME INC,316.070790430849,60101030
CELP,CYPRESS ENERGY PARTNERS LP,131.213635444641,20201050
NTIC,NORTHERN TECH INTL,73.7570084381332,15101050
EDGW,EDGEWATER TECHNOLOGY INC,96.795236890564,45102010
PDFS,PDF SOLUTIONS INC,535.828338966065,45301010
EDR,EDUCATION REALTY TRUST INC,2783.78730393725,60101060
DHX,DHI GROUP INC,156.869297160816,45101010
ITCI,INTRA-CELLULAR THERAPIES INC,465.416632076649,35202010
SALM,SALEM MEDIA GROUP INC,179.512794431843,25401020
GHM,GRAHAM CORP,215.886517227402,20106020
ADBE,ADOBE SYSTEMS INC,66614.7875326965,45103010
AERI,AERIE PHARMACEUTICALS INC,1404.24748325348,35202010
FR,FIRST INDL REALTY TRUST INC,3315.30632809736,60101020
DKL,DELEK LOGISTICS PARTNERS LP,742.022588729858,10102040
VTL,VITAL THERAPIES INC,109.739179782164,35201010
JEC,JACOBS ENGINEERING GROUP INC,6191.33316109306,20103010
UHT,UNIVERSAL HEALTH RLTY INCOME,973.218860381981,60101050
CBAY,CYMABAY THERAPEUTICS INC,110.984457623701,35202010
KLAC,KLA-TENCOR CORP,15809.5098888205,45301010
AIQ,ALLIANCE HEALTHCARE SVCS INC,142.973155053844,35102015
HBK,HAMILTON BANCORP INC/MD,48.14838854599,40102010
FIVN,FIVE9 INC,1156.3848000083,45101010
NWBI,NORTHWEST BANCSHARES INC,1566.5356449852,40102010
CCBG,CAPITAL CITY BK GROUP INC,310.427730945587,40101015
CERU,CERULEAN PHARMA INC,11.3619013146536,35201010
BBOX,BLACK BOX CORP,133.143994632721,45201020
JBLU,JETBLUE AIRWAYS CORP,7017.34007644653,20302010
UNXL,UNI-PIXEL INC,21.7324213067413,45203020
GALE,GALENA BIOPHARMA INC,21.1188188350259,35201010
RRR,RED ROCK RESORTS INC,2737.49090584481,25301010
RNN,REXAHN PHARMACEUTICALS INC,94.0752049285053,35201010
CUNB,CU BANCORP/CA,650.049313606262,40101015
LOPE,GRAND CANYON EDUCATION INC,3655.09198281128,25302010
MGRC,MCGRATH RENTCORP,811.629284392089,20201070
DMTX,DIMENSION THERAPEUTICS INC,28.8000364054797,35201010
ISBC,INVESTORS BANCORP INC,4096.81794080257,40101015
BKJ,BANCORP OF NEW JERSEY INC,102.837747879028,40101015
TPH,TRI POINTE GROUP INC,2002.41266754881,25201030
STRT,STRATTEC SECURITY CORP,109.005451531906,25101010
DHIL,DIAMOND HILL INVESTMENT GRP,678.066415881258,40203010
RL,RALPH LAUREN CORP,5781.77977752686,25203010
FIX,COMFORT SYSTEMS USA INC,1302.91006088257,20103010
PIP,PHARMATHENE INC,NULL,35201010
DX,DYNEX CAPITAL INC,330.644271903358,40204010
CORR,CORENERGY INFRASTRUCTURE TR,428.985928758804,60101080
PAYX,PAYCHEX INC,20631.6347205348,45102020
CFRX,CONTRAFECT CORP,52.0700120925903,35201010
INSW,INTERNATIONAL SEAWAYS INC,602.847948786773,10102040
SRCE,1ST SOURCE CORP,1190.43003253174,40101015
UNVR,UNIVAR INC,4298.53188504028,20107010
RELV,RELIV INTERNATIONAL INC,14.539861070079,30302010
ALG,ALAMO GROUP INC,957.013515362203,20106010
YUM,YUM BRANDS INC,24184.9994659424,25301040
RAD,RITE AID CORP,3614.15656936483,30101010
ROK,ROCKWELL AUTOMATION,19863.5366278687,20104010
RMP,RICE MIDSTREAM PARTNERS LP,2559.88721507681,10102040
UCBA,UNITED COMMUNITY BANCORP,77.7925,40102010
OAS,OASIS PETROLEUM INC,2730.8069229126,10102020
APOG,APOGEE ENTERPRISES INC,1473.62156612639,20102010
CC,CHEMOURS CO,7883.03189849854,15101020
TIK,TEL-INSTRUMENT ELECTRONICS,12.8607652309365,20101010
EBMT,EAGLE BANCORP MONTANA INC,74.8861485462189,40101015
AVXL,ANAVEX LIFE SCIENCES CORP,232.533455195306,35201010
CI,CIGNA CORP,41020.3432638245,35102030
GBDC,GOLUB CAPITAL BDC INC,1160.91252947972,40203010
BLL,BALL CORP,13945.9189682007,15103010
SYY,SYSCO CORP,30458.8873118889,30101020
KEYW,KEYW HOLDING CORP,429.642995757458,20101010
COR,CORESITE REALTY CORP,3385.51026790019,60101080
HON,HONEYWELL INTERNATIONAL INC,99223.5330148926,20105010
UHAL,AMERCO,7288.99966062186,20304020
AROW,ARROW FINANCIAL CORP,437.458460285187,40101015
IDRA,IDERA PHARMACEUTICALS INC,262.477588909769,35201010
RXII,RXI PHARMACEUTICALS CORP,11.9067636661264,35201010
RLGY,REALOGY HOLDINGS CORP,4132.87533941679,60102040
NSH,NUSTAR GP HOLDINGS LLC,1110.30921638489,10102040
STAG,STAG INDUSTRIAL INC,2187.85427290834,60101020
AIR,AAR CORP,1144.02398519742,20101010
ALK,ALASKA AIR GROUP INC,10274.4559641074,20302010
CTXS,CITRIX SYSTEMS INC,12481.9916390735,45103010
HIG,HARTFORD FINANCIAL SERVICES,17976.1527329865,40301030
BNED,BARNES & NOBLE EDUCATION INC,421.111626539612,25504040
NYNY,EMPIRE RESORTS INC,738.894924871063,25301010
TSN,TYSON FOODS INC  -CL A,20703.1406555176,30202030
UAMY,U S ANTIMONY CORP,30.369626194381,15104020
EXTN,EXTERRAN CORP,1047.02478504181,10101020
EXPD,EXPEDITORS INTL WASH INC,9465.80153788696,20301010
XOM,EXXON MOBIL CORP,346374.75,10102010
FSLR,FIRST SOLAR INC,3645.9650003452,45301020
ORCL,ORACLE CORP,181759.54246521,45103020
JONE,JONES ENERGY INC,209.711545944214,10102020
YUME,YUME INC,136.038268263644,45101010
RVLT,REVOLUTION LIGHTING TECHNLGS,173.617475778847,20104010
LARK,LANDMARK BANCORP INC/KS,119.582998523712,40101015
FNHC,FEDERATED NATIONAL HLDG CO,199.330028974533,40301040
CTAS,CINTAS CORP,12683.9670789025,20201070
CMCSA,COMCAST CORP,183410.139713824,25401025
VAL,VALSPAR CORP,8879.07599258423,15101050
VII,VICON INDUSTRIES INC,5.33105936398914,45203010
KND,KINDRED HEALTHCARE INC,856.910018920898,35102020
NLNK,NEWLINK GENETICS CORP,427.775829581335,35201010
APC,ANADARKO PETROLEUM CORP,28742.9542820435,10102020
IPWR,IDEAL POWER INC,32.6124972536636,20104010
CHGG,CHEGG INC,1087.58715201397,25302010
ITG,INVESTMENT TECHNOLOGY GP INC,673.841734417329,40203020
GLA,GLASSBRIDGE ENTERPRISES INC,20.3999996185303,45202030
PYDS,PAYMENT DATA SYSTEMS INC,16.3107217253049,45102020
CMI,CUMMINS INC,25493.934458374,20106010
DAIO,DATA I/O CORP,58.8346813841713,45203020
MSG,MADISON SQUARE GARDEN CO,4634.24280764465,25401030
SD,SANDRIDGE ENERGY INC,NULL,10102020
HOG,HARLEY-DAVIDSON INC,9235.01797585742,25102020
HCLP,HI-CRUSH PARTNERS LP,1324.31099644049,10101020
SYNA,SYNAPTICS INC,1883.62765452516,45301020
ENOC,ENERNOC INC,169.20284913386,45103010
AJRD,AEROJET ROCKETDYNE HOLDINGS,1422.32903321838,20101010
GTY,GETTY REALTY CORP,867.693525802839,60101070
CUDA,BARRACUDA NETWORKS INC,1177.49010495692,45103020
ANTM,ANTHEM INC,46836.1023971558,35102030
HDS,HD SUPPLY HOLDINGS INC,8040.03230603028,20107010
TMUS,T-MOBILE US INC,54600.439894165,50102010
GWRE,GUIDEWIRE SOFTWARE INC,4499.01942107367,45103010
GNCA,GENOCEA BIOSCIENCES INC,171.014820098877,35201010
DRNA,DICERNA PHARMACEUTICALS INC,66.1255238490994,35201010
KN,KNOWLES CORP,1549.08562636294,45203015
OKTA,OKTA INC,2086.54938922691,45101010
BBG,BILL BARRETT CORP,303.675471120841,10102020
TDC,TERADATA CORP,3633.98428979493,45102010
HCP,HCP INC,14859.1130633533,60101050
OSBC,OLD SECOND BANCORP INC/IL,346.085994358063,40101015
PMC,PHARMERICA CORP,772.676713311626,35102010
CLVS,CLOVIS ONCOLOGY INC,2445.77204382146,35201010
GEF,GREIF INC  -CL A,2664.09570515828,15103010
MRTN,MARTEN TRANSPORT LTD,786.073248912842,20304020
NCS,NCI BUILDING SYSTEMS INC,1179.94715581219,20102010
HIW,HIGHWOODS PROPERTIES INC,5096.82517240773,60101040
TEAR,TEARLAB CORP,11.1568247153236,35101020
CIM,CHIMERA INVESTMENT CORP,3359.37505521881,40204010
RBCN,RUBICON TECHNOLOGY INC,22.497639434293,45301010
JJSF,J & J SNACK FOODS CORP,2479.49560003662,30202030
SPN,SUPERIOR ENERGY SERVICES INC,1713.24177356077,10101020
EFOI,ENERGY FOCUS INC,37.1999017138394,20104010
KEM,KEMET CORP,617.905961101074,45203020
NSR,NEUSTAR INC,1832.09204880302,45102020
LECO,LINCOLN ELECTRIC HLDGS INC,5726.88390023804,20106020
NETE,NET ELEMENT INC,13.6714258138427,45101010
LOV,SPARK NETWORKS INC,32.0747114852056,45101010
NAV,NAVISTAR INTERNATIONAL CORP,2060.47386693573,20106010
IDCC,INTERDIGITAL INC,2798.59526312561,45201020
EME,EMCOR GROUP INC,3701.11472739646,20103010
CELG,CELGENE CORP,91689.4011917114,35201010
MNI,MCCLATCHY CO  -CL A,61.4522059444153,25401040
NRE,NORTHSTAR REALTY EUROPE CORP,645.658069077355,60101040
FCPT,FOUR CORNERS PROPERTY TR INC,1396.73316811657,60101080
AGNC,AGNC INVESTMENT CORP,6620,40204010
CYTX,CYTORI THERAPEUTICS INC,22.5790485409806,35201010
MGEE,MGE ENERGY INC,2194.48437355042,55101010
INST,INSTRUCTURE INC,761.49736019109,45101010
WVE,WAVE LIFE SCIENCES LTD,496.927570362499,35202010
OGE,OGE ENERGY CORP,6773.95931433105,55101010
MBVX,MABVAX THERAPEUTICS HLDGS,10.8519756485919,35201010
RRTS,ROADRUNNER TRANS SYSTEMS INC,234.99354877491,20304020
CLD,CLOUD PEAK ENERGY INC,253.689287764282,10102050
RST,ROSETTA STONE INC,260.22566748745,45103030
BMRA,BIOMERICA INC,22.7938558152789,35101010
VNOM,VIPER ENERGY PARTNERS LP,1712.44754899951,10102020
CLSD,CLEARSIDE BIOMEDICAL INC,214.291178001409,35202010
MBRX,MOLECULIN BIOTECH INC,13.406429768768,35201010
SLCA,U S SILICA HOLDINGS INC,3182.79457309475,10101020
MGM,MGM RESORTS INTERNATIONAL,17785.4688295294,25301010
BATRK,LIBERTY MEDIA BRAVES GROUP,1160.40193471527,25401030
PZRX,PHASERX INC,13.4438787057321,35201010
INPX,INPIXON,4.8434851936841,45102010
PKOH,PARK OHIO HOLDINGS CORP,442.676545858383,20301010
PTGX,PROTAGONIST THERAPEUTICS INC,165.989643611456,35201010
HNNA,HENNESSY ADVISORS INC,119.506950294865,40203010
JYNT,JOINT CORP (THE),52.5614997506142,35102020
MRDN,MERIDIAN WASTE SOLUTIONS INC,5.6982495175867,20201050
SHLO,SHILOH INDUSTRIES INC,198.5756353542,25101010
RTNB,ROOT9B TECHNOLOGIES INC,45.8786185817551,20202020
GOGO,GOGO INC,1080.14965057373,45101010
MXL,MAXLINEAR INC,2028.82597351074,45301020
PES,PIONEER ENERGY SERVICES CORP,212.52052116394,10101010
DGICA,DONEGAL GROUP INC,422.375370710373,40301040
SGMO,SANGAMO THERAPEUTICS INC,563.431611085529,35201010
TNAV,TELENAV INC,352.066763255119,45103010
IRWD,IRONWOOD PHARMACEUTICALS INC,2696.56850151223,35201010
BRT,BRT APARTMENTS CORP,105.615656846719,60101060
BCR,BARD (C.R.) INC,22187.8456907959,35101010
CBU,COMMUNITY BANK SYSTEM INC,2496.32990597534,40101015
OAKS,FIVE OAKS INVESTMENT CORP,91.5549380315424,40204010
PRI,PRIMERICA INC,3502.22853023529,40301020
SCHL,SCHOLASTIC CORP,1463.04822329131,25401040
VSTO,VISTA OUTDOOR INC,1100.91177633723,25202010
INOV,INOVALON HOLDINGS INC,1911.49089250076,35103010
DECK,DECKERS OUTDOOR CORP,1862.15450136856,25203020
APU,AMERIGAS PARTNERS  -LP,4029.31477671814,55102010
CPB,CAMPBELL SOUP CO,17537.5195770264,30202030
TRNS,TRANSCAT INC,84.528,20107010
CDTX,CIDARA THERAPEUTICS INC,114.272098694748,35201010
NRIM,NORTHRIM BANCORP INC,206.608997364044,40101015
CNXC,CNX COAL RESOURCES LP,362.776846757832,10102050
PBHC,PATHFINDER BANCORP INC,64.1297016201019,40102010
MRCY,MERCURY SYSTEMS INC,1778.03472434635,20101010
AHT,ASHFORD HOSPITALITY TRUST,595.698503587053,60101030
NOW,SERVICENOW INC,16797.3231324418,45103020
FLT,FLEETCOR TECHNOLOGIES INC,12308.1242640212,45102020
TRGP,TARGA RESOURCES CORP,9741.53894650866,10102040
DIN,DINEEQUITY INC,881.895949188591,25301040
CWBC,COMMUNITY WEST BANCSHARES,81.03,40101015
TLLP,TESORO LOGISTICS LP,5446.66502714539,10102040
ATNM,ACTINIUM PHARMACEUTICALS INC,75.4411722787686,35201010
STDY,STEADYMED LTD,141.985802772489,35202010
BLBD,BLUE BIRD CORP,420.418564625877,20106010
EVEP,EV ENERGY PARTNERS LP,54.3057579366891,10102020
HHC,HOWARD HUGHES CORP,5198.63336635241,60102030
BKU,BANKUNITED INC,3614.36356562805,40101015
KODK,EASTMAN KODAK CO,NULL,45202030
COTY,COTY INC,13916.6093730927,30302010
FMBH,FIRST MID ILL BANCSHARES INC,414.219123809814,40101015
RECN,RESOURCES CONNECTION INC,382.433387509918,20202020
SHSP,SHARPSPRING INC,31.8956035210676,45101010
WBA,WALGREENS BOOTS ALLIANCE INC,88022.6299051046,30101010
SUNS,SOLAR SENIOR CAPITAL LTD,281.606524001254,40203010
MITT,AG MORTGAGE INVESTMENT TRUST,504.451582418609,40204010
DMLP,DORCHESTER MINERALS  -LP,507.678348025947,10102020
FMI,FOUNDATION MEDICINE INC,1321.63244831172,35201010
JASN,JASON INDUSTRIES INC,34.4446870664804,20106020
IMNP,IMMUNE PHARMACEUTICALS INC,20.4718986792799,35201010
ANSS,ANSYS INC,10282.9586714506,45103010
GSVC,GSV CAPITAL CORP,100.036313975754,40203010
ENT,GLOBAL EAGLE ENTERTAINMENT,260.194697317613,25401030
CCK,CROWN HOLDINGS INC,7575.95995559031,15103010
OSK,OSHKOSH CORP,4670.91862891734,20106010
CHMI,CHERRY HILL MTG INVST,226.447236103031,40204010
IVZ,INVESCO LTD,12710.2028853935,40203010
ETM,ENTERCOM COMMUNICATIONS CORP,391.742114412293,25401020
GPN,GLOBAL PAYMENTS INC,13537.6493388282,45102020
NOG,NORTHERN OIL & GAS INC,107.75038868821,10102020
BECN,BEACON ROOFING SUPPLY INC,2895.26815223288,20107010
FLR,FLUOR CORP,6355.84736377699,20103010
BIOS,BIOSCRIP INC,199.621182036816,35102015
JVA,COFFEE HOLDING CO INC,28.2317890971165,30202030
CTG,COMPUTER TASK GROUP INC,84.0443044246445,45102010
WWW,WOLVERINE WORLD WIDE,2444.00422804516,25203020
MNST,MONSTER BEVERAGE CORP,26577.2668240236,30201030
NBHC,NATIONAL BANK HLDGS CORP,830.600444076538,40101015
ACHC,ACADIA HEALTHCARE CO INC,3696.56367220567,35102020
GM,GENERAL MOTORS CO,48705.0018310547,25102010
GIGA,GIGA-TRONICS INC,7.54426303374123,45203010
KSS,KOHL'S CORP,6446.69986724854,25503010
ADTN,ADTRAN INC,935.011351898575,45201020
ARC,ARC DOCUMENT SOLUTIONS INC,162.621814057055,20201060
NP,NEENAH PAPER INC,1257.42123361664,15105020
HEI,HEICO CORP,6112.01223306656,20101010
HELE,HELEN OF TROY LTD,2444.74306088281,25201040
HBP,HUTTIG BUILDING PRODUCTS INC,174.178119905107,20107010
INGN,INOGEN INC,1679.67678338141,35101010
BKCC,BLACKROCK CAPITAL INVT CORP,547.512763503884,40203010
PRK,PARK NATIONAL CORP,1532.60646734619,40101015
UBNK,UNITED FINANCIAL BANCORP INC,835.976929336548,40102010
MHO,M/I HOMES INC,702.188452821414,25201030
SUN,SUNOCO LP,2994.61175961653,10102040
